concept,concept_type,domain,name
geo,entity_domain,,Geo
global,entity_set,geo,Global
region,entity_set,geo,World in 6 regions
country,entity_set,geo,Country
name,string,,Name
domain,string,,Domain
whocode,string,,WHO Code
iso3,string,,ISO 3
year,time,,Year
nnd,measure,,Deaths Numbers - total neonatal deaths
pnd,measure,,Deaths Numbers - total postneonatal deaths
livebirths,measure,,Deaths Numbers - live births
neo2,measure,,Deaths Numbers - neonatal period - HIV/AIDS
neo3,measure,,Deaths Numbers - neonatal period - Diarrhoeal diseases
neo5,measure,,Deaths Numbers - neonatal period - Tetanus
neo6,measure,,Deaths Numbers - neonatal period - Measles
neo7,measure,,Deaths Numbers - neonatal period - Meningitis/encephalitis
neo8,measure,,Deaths Numbers - neonatal period - Malaria
neo9,measure,,Deaths Numbers - neonatal period - Acute respiratory infections
neo10,measure,,Deaths Numbers - neonatal period - Prematurity
neo11,measure,,Deaths Numbers - neonatal period - Birth asphyxia and birth trauma
neo12,measure,,Deaths Numbers - neonatal period - Sepsis and other infectious conditions of the newborn
neo13,measure,,Deaths Numbers - neonatal period - Other Group 1
neo15,measure,,Deaths Numbers - neonatal period - Congenital anomalies
neo16,measure,,Deaths Numbers - neonatal period - Other noncommunicable diseases
neo17,measure,,Deaths Numbers - neonatal period - Injuries
post2,measure,,Deaths Numbers - postneonatal period - HIV/AIDS
post3,measure,,Deaths Numbers - postneonatal period - Diarrhoeal diseases
post5,measure,,Deaths Numbers - postneonatal period - Tetanus
post6,measure,,Deaths Numbers - postneonatal period - Measles
post7,measure,,Deaths Numbers - postneonatal period - Meningitis/encephalitis
post8,measure,,Deaths Numbers - postneonatal period - Malaria
post9,measure,,Deaths Numbers - postneonatal period - Acute respiratory infections
post10,measure,,Deaths Numbers - postneonatal period - Prematurity
post11,measure,,Deaths Numbers - postneonatal period - Birth asphyxia and birth trauma
post12,measure,,Deaths Numbers - postneonatal period - Sepsis and other infectious conditions of the newborn
post13,measure,,Deaths Numbers - postneonatal period - Other Group 1
post15,measure,,Deaths Numbers - postneonatal period - Congenital anomalies
post16,measure,,Deaths Numbers - postneonatal period - Other noncommunicable diseases
post17,measure,,Deaths Numbers - postneonatal period - Injuries
ufive2,measure,,"Deaths Numbers - under five (i.e., neo+post) - HIV/AIDS"
ufive3,measure,,"Deaths Numbers - under five (i.e., neo+post) - Diarrhoeal diseases"
ufive5,measure,,"Deaths Numbers - under five (i.e., neo+post) - Tetanus"
ufive6,measure,,"Deaths Numbers - under five (i.e., neo+post) - Measles"
ufive7,measure,,"Deaths Numbers - under five (i.e., neo+post) - Meningitis/encephalitis"
ufive8,measure,,"Deaths Numbers - under five (i.e., neo+post) - Malaria"
ufive9,measure,,"Deaths Numbers - under five (i.e., neo+post) - Acute respiratory infections"
ufive10,measure,,"Deaths Numbers - under five (i.e., neo+post) - Prematurity"
ufive11,measure,,"Deaths Numbers - under five (i.e., neo+post) - Birth asphyxia and birth trauma"
ufive12,measure,,"Deaths Numbers - under five (i.e., neo+post) - Sepsis and other infectious conditions of the newborn"
ufive13,measure,,"Deaths Numbers - under five (i.e., neo+post) - Other Group 1"
ufive15,measure,,"Deaths Numbers - under five (i.e., neo+post) - Congenital anomalies"
ufive16,measure,,"Deaths Numbers - under five (i.e., neo+post) - Other noncommunicable diseases"
ufive17,measure,,"Deaths Numbers - under five (i.e., neo+post) - Injuries"
rneo2,measure,,Deaths Rate Per 1000 live Births - neonatal period - HIV/AIDS
rneo3,measure,,Deaths Rate Per 1000 live Births - neonatal period - Diarrhoeal diseases
rneo5,measure,,Deaths Rate Per 1000 live Births - neonatal period - Tetanus
rneo6,measure,,Deaths Rate Per 1000 live Births - neonatal period - Measles
rneo7,measure,,Deaths Rate Per 1000 live Births - neonatal period - Meningitis/encephalitis
rneo8,measure,,Deaths Rate Per 1000 live Births - neonatal period - Malaria
rneo9,measure,,Deaths Rate Per 1000 live Births - neonatal period - Acute respiratory infections
rneo10,measure,,Deaths Rate Per 1000 live Births - neonatal period - Prematurity
rneo11,measure,,Deaths Rate Per 1000 live Births - neonatal period - Birth asphyxia and birth trauma
rneo12,measure,,Deaths Rate Per 1000 live Births - neonatal period - Sepsis and other infectious conditions of the newborn
rneo13,measure,,Deaths Rate Per 1000 live Births - neonatal period - Other Group 1
