global,year,age_group,cause,death_rate
global,2000,neo,2,0.015660660341382027
global,2001,neo,2,0.015655087307095528
global,2002,neo,2,0.015478679910302162
global,2003,neo,2,0.015001151710748672
global,2004,neo,2,0.014494994655251503
global,2005,neo,2,0.01375661976635456
global,2006,neo,2,0.01306844875216484
global,2007,neo,2,0.012213759124279022
global,2008,neo,2,0.011075081303715706
global,2009,neo,2,0.010150679387152195
global,2010,neo,2,0.009318799711763859
global,2011,neo,2,0.008981049992144108
global,2012,neo,2,0.008300157263875008
global,2013,neo,2,0.007165432907640934
global,2014,neo,2,0.006221875548362732
global,2015,neo,2,0.005611828062683344
global,2016,neo,2,0.00543148024007678
global,2017,neo,2,0.005380426067858934
global,2000,neo,3,0.3165872395038605
global,2001,neo,3,0.29977354407310486
global,2002,neo,3,0.28404635190963745
global,2003,neo,3,0.26896172761917114
global,2004,neo,3,0.2535983920097351
global,2005,neo,3,0.2384270578622818
global,2006,neo,3,0.22223356366157532
global,2007,neo,3,0.20732541382312775
global,2008,neo,3,0.19278372824192047
global,2009,neo,3,0.17921069264411926
global,2010,neo,3,0.16773220896720886
global,2011,neo,3,0.15748882293701172
global,2012,neo,3,0.14853066205978394
global,2013,neo,3,0.13961245119571686
global,2014,neo,3,0.1303788274526596
global,2015,neo,3,0.1221577376127243
global,2016,neo,3,0.11710726469755173
global,2017,neo,3,0.11428450793027878
global,2000,neo,5,1.3103229999542236
global,2001,neo,5,1.1606075763702393
global,2002,neo,5,1.0195420980453491
global,2003,neo,5,0.8878767490386963
global,2004,neo,5,0.7665554881095886
global,2005,neo,5,0.6697525978088379
global,2006,neo,5,0.5921199321746826
global,2007,neo,5,0.5271242260932922
global,2008,neo,5,0.46878373622894287
global,2009,neo,5,0.4197640120983124
global,2010,neo,5,0.3835674822330475
global,2011,neo,5,0.35651546716690063
global,2012,neo,5,0.3299791216850281
global,2013,neo,5,0.3002168834209442
global,2014,neo,5,0.2693040370941162
global,2015,neo,5,0.2413778454065323
global,2016,neo,5,0.22351394593715668
global,2017,neo,5,0.21974162757396698
global,2000,neo,6,0.0
global,2001,neo,6,0.0
global,2002,neo,6,0.0
global,2003,neo,6,0.0
global,2004,neo,6,0.0
global,2005,neo,6,0.0
global,2006,neo,6,0.0
global,2007,neo,6,0.0
global,2008,neo,6,0.0
global,2009,neo,6,0.0
global,2010,neo,6,0.0
global,2011,neo,6,0.0
global,2012,neo,6,0.0
global,2013,neo,6,0.0
global,2014,neo,6,0.0
global,2015,neo,6,0.0
global,2016,neo,6,0.0
global,2017,neo,6,0.0
global,2000,neo,7,0.4111296236515045
global,2001,neo,7,0.4084751605987549
global,2002,neo,7,0.40256428718566895
global,2003,neo,7,0.3979048430919647
global,2004,neo,7,0.3914327323436737
global,2005,neo,7,0.3809572756290436
global,2006,neo,7,0.37839165329933167
global,2007,neo,7,0.3721116781234741
global,2008,neo,7,0.3633076846599579
global,2009,neo,7,0.35318586230278015
global,2010,neo,7,0.3383769094944
global,2011,neo,7,0.3195979595184326
global,2012,neo,7,0.30279111862182617
global,2013,neo,7,0.28952544927597046
global,2014,neo,7,0.27860409021377563
global,2015,neo,7,0.2667906880378723
global,2016,neo,7,0.25857576727867126
global,2017,neo,7,0.2511473596096039
global,2000,neo,8,0.0
global,2001,neo,8,0.0
global,2002,neo,8,0.0
global,2003,neo,8,0.0
global,2004,neo,8,0.0
global,2005,neo,8,0.0
global,2006,neo,8,0.0
global,2007,neo,8,0.0
global,2008,neo,8,0.0
global,2009,neo,8,0.0
global,2010,neo,8,0.0
global,2011,neo,8,0.0
