country,year,age_group,deaths
afg,2000,neo,60411.0078125
afg,2001,neo,61031.0
afg,2002,neo,61469.0078125
afg,2003,neo,61620.0
afg,2004,neo,61509.0
afg,2005,neo,61059.0
afg,2006,neo,60326.00390625
afg,2007,neo,59329.00390625
afg,2008,neo,58035.0
afg,2009,neo,56524.0
afg,2010,neo,54823.0
afg,2011,neo,53137.0
afg,2012,neo,51521.0
afg,2013,neo,50022.0
afg,2014,neo,48661.99609375
afg,2015,neo,47429.0
afg,2016,neo,46278.9921875
afg,2017,neo,45218.9921875
ago,2000,neo,41171.00390625
ago,2001,neo,41427.0
ago,2002,neo,41553.0
ago,2003,neo,41539.99609375
ago,2004,neo,41461.0
ago,2005,neo,41059.0
ago,2006,neo,40701.0
ago,2007,neo,40307.0
ago,2008,neo,39804.0
ago,2009,neo,39307.99609375
ago,2010,neo,38757.0
ago,2011,neo,38181.0
ago,2012,neo,37551.0
ago,2013,neo,36962.0
ago,2014,neo,36476.0
ago,2015,neo,36146.99609375
ago,2016,neo,36029.0
ago,2017,neo,35914.0
alb,2000,neo,563.0
alb,2001,neo,514.0
alb,2002,neo,465.9999694824219
alb,2003,neo,420.0
alb,2004,neo,378.0000305175781
alb,2005,neo,341.0
alb,2006,neo,309.0
alb,2007,neo,281.0000305175781
alb,2008,neo,258.0
alb,2009,neo,238.99998474121094
alb,2010,neo,224.00001525878906
alb,2011,neo,212.0
alb,2012,neo,203.99998474121094
alb,2013,neo,200.0
alb,2014,neo,200.99998474121094
alb,2015,neo,205.0
alb,2016,neo,207.99998474121094
alb,2017,neo,207.97488403320312
and,2000,neo,2.0
and,2001,neo,1.0
and,2002,neo,1.0
and,2003,neo,1.0
and,2004,neo,1.0
and,2005,neo,1.0
and,2006,neo,1.0
and,2007,neo,1.0
and,2008,neo,1.0
and,2009,neo,1.0
and,2010,neo,1.0
and,2011,neo,1.0
and,2012,neo,1.0
and,2013,neo,1.0
and,2014,neo,1.0
and,2015,neo,1.0
and,2016,neo,1.0
and,2017,neo,1.0
are,2000,neo,312.0
are,2001,neo,316.0
are,2002,neo,323.9999694824219
are,2003,neo,334.0000305175781
are,2004,neo,345.0
are,2005,neo,355.0000305175781
are,2006,neo,365.0
are,2007,neo,375.0000305175781
are,2008,neo,383.0000305175781
are,2009,neo,388.0
are,2010,neo,391.0000305175781
are,2011,neo,392.0
are,2012,neo,396.0000305175781
are,2013,neo,400.0000305175781
are,2014,neo,406.9999694824219
are,2015,neo,415.0000305175781
are,2016,neo,420.0
are,2017,neo,421.9978332519531
