global,year,age_group,cause,deaths
global,2000,neo,2,2041.7071695625782
global,2001,neo,2,2048.813152104616
global,2002,neo,2,2036.3025837093592
global,2003,neo,2,1985.650357156992
global,2004,neo,2,1931.6093066185713
global,2005,neo,2,1846.0704068690538
global,2006,neo,2,1766.0378587469459
global,2007,neo,2,1661.8567407503724
global,2008,neo,2,1516.7096842601895
global,2009,neo,2,1398.3188516572118
global,2010,neo,2,1290.285522185266
global,2011,neo,2,1248.7654540091753
global,2012,neo,2,1158.005085080862
global,2013,neo,2,1002.3321193754673
global,2014,neo,2,872.0014744773507
global,2015,neo,2,787.4368190914392
global,2016,neo,2,762.5185978785157
global,2017,neo,2,755.3140485137701
global,2000,neo,3,41274.023867253214
global,2001,neo,3,39231.97320926562
global,2002,neo,3,37367.80796661973
global,2003,neo,3,35601.528085790575
global,2004,neo,3,33794.63234191947
global,2005,neo,3,31995.73341968283
global,2006,neo,3,30032.09387312457
global,2007,neo,3,28209.589688688517
global,2008,neo,3,26401.33577018045
global,2009,neo,3,24687.381089948118
global,2010,neo,3,23224.282565498725
global,2011,neo,3,21897.95097075589
global,2012,neo,3,20722.410347171128
global,2013,neo,3,19529.60147272609
global,2014,neo,3,18272.710056032985
global,2015,neo,3,17140.849440686405
global,2016,neo,3,16440.54012124613
global,2017,neo,3,16043.467530338094
global,2000,neo,5,170829.05319446698
global,2001,neo,5,151891.07663501427
global,2002,neo,5,134126.17863494158
global,2003,neo,5,117525.1634060219
global,2004,neo,5,102151.51406391338
global,2005,neo,5,89877.48603915423
global,2006,neo,5,80017.6233533267
global,2007,neo,5,71722.79512433521
global,2008,neo,5,64198.97117320262
global,2009,neo,5,57825.08971905336
global,2010,neo,5,53108.939038610086
global,2011,neo,5,49571.50765743852
global,2012,neo,5,46037.37952594459
global,2013,neo,5,41995.652032699436
global,2014,neo,5,37743.20139686391
global,2015,neo,5,33869.498131977394
global,2016,neo,5,31378.83880366385
global,2017,neo,5,30847.73175762687
global,2000,neo,6,0.0
global,2001,neo,6,0.0
global,2002,neo,6,0.0
global,2003,neo,6,0.0
global,2004,neo,6,0.0
global,2005,neo,6,0.0
global,2006,neo,6,0.0
global,2007,neo,6,0.0
global,2008,neo,6,0.0
global,2009,neo,6,0.0
global,2010,neo,6,0.0
global,2011,neo,6,0.0
global,2012,neo,6,0.0
global,2013,neo,6,0.0
global,2014,neo,6,0.0
global,2015,neo,6,0.0
global,2016,neo,6,0.0
global,2017,neo,6,0.0
global,2000,neo,7,53599.67714062333
global,2001,neo,7,53457.97429172695
global,2002,neo,7,52959.47222507
global,2003,neo,7,52669.28128255904
global,2004,neo,7,52162.494663611054
global,2005,neo,7,51122.58393765986
global,2006,neo,7,51134.91233584285
global,2007,neo,7,50631.1204136312
global,2008,neo,7,49754.244073688984
global,2009,neo,7,48653.53874976188
global,2010,neo,7,46851.83170276135
global,2011,neo,7,44438.33232577145
global,2012,neo,7,42244.21909124404
global,2013,neo,7,40500.08670592308
global,2014,neo,7,39046.61416517943
global,2015,neo,7,37435.3599993363
global,2016,neo,7,36301.122106503695
global,2017,neo,7,35256.52643047273
global,2000,neo,8,0.0
global,2001,neo,8,0.0
global,2002,neo,8,0.0
global,2003,neo,8,0.0
global,2004,neo,8,0.0
global,2005,neo,8,0.0
global,2006,neo,8,0.0
global,2007,neo,8,0.0
global,2008,neo,8,0.0
global,2009,neo,8,0.0
