global,year,age_group,deaths
global,2000,neo,3995121.0962951183
global,2001,neo,3889595.352203727
global,2002,neo,3784916.5047807693
global,2003,neo,3681372.08547318
global,2004,neo,3580941.7566890717
global,2005,neo,3483463.05240494
global,2006,neo,3392998.736380279
global,2007,neo,3307398.810064316
global,2008,neo,3224609.2609978914
global,2009,neo,3140764.3758482933
global,2010,neo,3058595.2938201427
global,2011,neo,2975008.5226472616
global,2012,neo,2894537.2131228447
global,2013,neo,2816314.4009703994
global,2014,neo,2740772.836193979
global,2015,neo,2667912.156849265
global,2016,neo,2598858.7604441643
global,2017,neo,2531565.188850343
global,2000,post,5988005.141334474
global,2001,post,5800964.354501188
global,2002,post,5587292.544249475
global,2003,post,5447300.526717186
global,2004,post,5135494.638439894
global,2005,post,4963901.632691324
global,2006,post,4658704.661719322
global,2007,post,4397821.792047143
global,2008,post,4259947.46871686
global,2009,post,4070349.768068552
global,2010,post,3913056.6246180534
global,2011,post,3771469.8678898215
global,2012,post,3554938.8577473164
global,2013,post,3425288.5700696707
global,2014,post,3280512.578041315
global,2015,post,3155829.0701019764
global,2016,post,3043810.655707121
global,2017,post,2881439.2769323587
