region,year,age_group,cause,deaths
5_emr,2000,neo,2,5.650000423192978
6_wpr,2000,neo,2,14.740000456571579
1_afr,2000,neo,2,1831.253599613905
2_amr,2000,neo,2,38.67317372560501
3_sear,2000,neo,2,144.23999911546707
4_eur,2000,neo,2,7.150396227836609
5_emr,2001,neo,2,6.1700002402067184
2_amr,2001,neo,2,39.58311101794243
3_sear,2001,neo,2,138.21000343561172
6_wpr,2001,neo,2,15.999999985098839
1_afr,2001,neo,2,1843.0500374138355
4_eur,2001,neo,2,5.800000011920929
5_emr,2002,neo,2,6.910000115633011
3_sear,2002,neo,2,130.48999726772308
4_eur,2002,neo,2,6.359999939799309
1_afr,2002,neo,2,1832.5815196335316
6_wpr,2002,neo,2,16.97999992966652
2_amr,2002,neo,2,42.981066823005676
6_wpr,2003,neo,2,17.68000054359436
4_eur,2003,neo,2,7.010000064969063
3_sear,2003,neo,2,121.25999712944031
1_afr,2003,neo,2,1804.414632409811
5_emr,2003,neo,2,7.260000184178352
2_amr,2003,neo,2,28.025726824998856
4_eur,2004,neo,2,6.680000081658363
5_emr,2004,neo,2,7.5299999713897705
6_wpr,2004,neo,2,18.097274526953697
1_afr,2004,neo,2,1756.9797144457698
3_sear,2004,neo,2,111.74000381678343
2_amr,2004,neo,2,30.582313776016235
4_eur,2005,neo,2,6.349999859929085
2_amr,2005,neo,2,24.969323873519897
6_wpr,2005,neo,2,17.952557489275932
5_emr,2005,neo,2,7.970000125467777
3_sear,2005,neo,2,101.36000207066536
1_afr,2005,neo,2,1687.4685234501958
1_afr,2006,neo,2,1619.2337158694863
2_amr,2006,neo,2,22.73463535308838
5_emr,2006,neo,2,8.290000021457672
4_eur,2006,neo,2,5.909999907016754
3_sear,2006,neo,2,92.45999819040298
6_wpr,2006,neo,2,17.409509405493736
5_emr,2007,neo,2,8.719999685883522
1_afr,2007,neo,2,1507.8822732046247
6_wpr,2007,neo,2,17.547863706946373
2_amr,2007,neo,2,37.0495163500309
3_sear,2007,neo,2,83.71999950706959
