region,year,age_group,deaths
5_emr,2000,neo,537040.0111923218
6_wpr,2000,neo,441323.21985411644
1_afr,2000,neo,1093052.9940490723
2_amr,2000,neo,203017.00563812256
3_sear,2000,neo,1615087.8623046875
4_eur,2000,neo,105600.00325679779
5_emr,2001,neo,528209.0328979492
2_amr,2001,neo,193867.9956035614
3_sear,2001,neo,1562355.1249847412
6_wpr,2001,neo,413476.1665084362
1_afr,2001,neo,1090964.0311136246
4_eur,2001,neo,100723.00109541416
5_emr,2002,neo,521032.00327301025
3_sear,2002,neo,1508427.124305725
4_eur,2002,neo,96080.00087451935
1_afr,2002,neo,1087619.0366516113
6_wpr,2002,neo,386658.34614658356
2_amr,2002,neo,185099.99352931976
6_wpr,2003,neo,360415.2183113098
4_eur,2003,neo,91967.00445377827
3_sear,2003,neo,1453984.8716201782
1_afr,2003,neo,1083633.0170669556
5_emr,2003,neo,514614.9690208435
2_amr,2003,neo,176757.00500011444
4_eur,2004,neo,88237.00357437134
5_emr,2004,neo,508822.9924621582
6_wpr,2004,neo,334858.60846710205
1_afr,2004,neo,1079110.0213623047
3_sear,2004,neo,1400998.1305847168
2_amr,2004,neo,168915.00023841858
4_eur,2005,neo,84883.00089639425
2_amr,2005,neo,161892.00331401825
6_wpr,2005,neo,310861.92604887486
5_emr,2005,neo,504402.99865722656
3_sear,2005,neo,1347148.128112793
1_afr,2005,neo,1074274.9953756332
1_afr,2006,neo,1069666.958831787
2_amr,2006,neo,155908.00073051453
5_emr,2006,neo,502390.99028778076
4_eur,2006,neo,81747.99873250723
3_sear,2006,neo,1294370.943901062
6_wpr,2006,neo,288913.8438966274
5_emr,2007,neo,502538.0121688843
1_afr,2007,neo,1064843.0151138306
6_wpr,2007,neo,269199.7680358887
2_amr,2007,neo,150799.99981498718
3_sear,2007,neo,1241192.0151367188
4_eur,2007,neo,78825.99979400635
5_emr,2008,neo,503890.0382080078
6_wpr,2008,neo,251806.10029947758
3_sear,2008,neo,1186871.1269569397
2_amr,2008,neo,146079.0016555786
4_eur,2008,neo,76124.99950933456
1_afr,2008,neo,1059837.9943685532
5_emr,2009,neo,505645.00900268555
1_afr,2009,neo,1053697.0477294922
6_wpr,2009,neo,236188.30508852005
4_eur,2009,neo,73626.00145864487
2_amr,2009,neo,141541.00451612473
3_sear,2009,neo,1130067.008052826
6_wpr,2010,neo,222342.2176129818
4_eur,2010,neo,71131.9998216629
1_afr,2010,neo,1046811.0197296143
3_sear,2010,neo,1074100.0586242676
2_amr,2010,neo,137798.0019416809
5_emr,2010,neo,506411.9960899353
1_afr,2011,neo,1038834.990281105
4_eur,2011,neo,68392.00068569183
5_emr,2011,neo,504716.000579834
3_sear,2011,neo,1019802.9904823303
2_amr,2011,neo,133409.00150489807
6_wpr,2011,neo,209853.53911340237
2_amr,2012,neo,130199.00356769562
6_wpr,2012,neo,198397.20920991898
5_emr,2012,neo,500653.99436187744
3_sear,2012,neo,968846.0039138794
1_afr,2012,neo,1030895.0022668839
4_eur,2012,neo,65545.99980258942
1_afr,2013,neo,1021974.0118923187
5_emr,2013,neo,495048.0220565796
2_amr,2013,neo,127588.99909591675
4_eur,2013,neo,62842.998443067074
3_sear,2013,neo,921513.945892334
6_wpr,2013,neo,187346.42359018326
2_amr,2014,neo,125272.99948215485
5_emr,2014,neo,487124.0012588501
3_sear,2014,neo,878213.0007324219
4_eur,2014,neo,60204.9987449646
1_afr,2014,neo,1012947.015045166
6_wpr,2014,neo,177010.82093042135
2_amr,2015,neo,123012.99952793121
4_eur,2015,neo,57231.00122642517
6_wpr,2015,neo,167006.16112363338
1_afr,2015,neo,1004274.0064764023
5_emr,2015,neo,478725.99130249023
3_sear,2015,neo,837661.9971923828
2_amr,2016,neo,122794.00192689896
1_afr,2016,neo,995388.968506813
3_sear,2016,neo,800241.0725059509
5_emr,2016,neo,468843.9924545288
6_wpr,2016,neo,157537.72560882568
4_eur,2016,neo,54052.99944114685
1_afr,2017,neo,987771.9850225449
2_amr,2017,neo,118701.4868645668
4_eur,2017,neo,50991.44469290972
3_sear,2017,neo,766763.6300582886
5_emr,2017,neo,458465.96868133545
6_wpr,2017,neo,148870.67353069782
5_emr,2000,post,576354.5986328125
6_wpr,2000,post,389640.44518107176
1_afr,2000,post,3004497.6954803467
2_amr,2000,post,214555.000623703
3_sear,2000,post,1686801.1906814575
4_eur,2000,post,116156.21073508263
5_emr,2001,post,563700.0626220703
2_amr,2001,post,201615.00163316727
3_sear,2001,post,1628234.092414856
6_wpr,2001,post,357271.13528490067
1_afr,2001,post,2942890.7640686035
4_eur,2001,post,107253.29847759008
5_emr,2002,post,546645.1464538574
3_sear,2002,post,1534306.5793380737
4_eur,2002,post,99681.31483501196
1_afr,2002,post,2887210.8599243164
6_wpr,2002,post,329711.6448805332
2_amr,2002,post,189736.99881768227
6_wpr,2003,post,304794.3776681423
4_eur,2003,post,93062.34737944603
3_sear,2003,post,1471982.9641189575
1_afr,2003,post,2859756.859359741
5_emr,2003,post,538772.9809265137
2_amr,2003,post,178930.99726438522
4_eur,2004,post,87458.3708679676
5_emr,2004,post,520449.7643432617
6_wpr,2004,post,283566.70233535767
1_afr,2004,post,2616426.4536361694
3_sear,2004,post,1458507.341430664
2_amr,2004,post,169086.00582647324
4_eur,2005,post,82608.39358133078
2_amr,2005,post,159839.00259494781
6_wpr,2005,post,265321.02755355835
5_emr,2005,post,503889.525390625
3_sear,2005,post,1312934.1091156006
1_afr,2005,post,2639309.574455261
1_afr,2006,post,2419238.3385162354
2_amr,2006,post,151042.99860215187
5_emr,2006,post,492500.48916625977
4_eur,2006,post,78544.424431324
3_sear,2006,post,1266297.3723335266
6_wpr,2006,post,251081.0386698246
5_emr,2007,post,476510.671875
1_afr,2007,post,2314964.274345398
6_wpr,2007,post,240433.97308743
2_amr,2007,post,142775.9971499443
3_sear,2007,post,1148118.382320404
4_eur,2007,post,75018.49326896667
5_emr,2008,post,463357.0849914551
6_wpr,2008,post,229219.4934425354
3_sear,2008,post,1093869.8109436035
2_amr,2008,post,135468.00123000145
4_eur,2008,post,71805.52217817307
1_afr,2008,post,2266227.5559310913
5_emr,2009,post,454567.81477355957
1_afr,2009,post,2179857.428588867
6_wpr,2009,post,221176.68824791908
4_eur,2009,post,68875.55513429642
2_amr,2009,post,129155.00153875351
3_sear,2009,post,1016717.2797851562
6_wpr,2010,post,212283.3860912323
4_eur,2010,post,66204.60465955734
1_afr,2010,post,2104742.0022964478
3_sear,2010,post,925229.3367614746
2_amr,2010,post,159748.00046730042
5_emr,2010,post,444849.294342041
1_afr,2011,post,2063358.798751831
4_eur,2011,post,63885.643835008144
5_emr,2011,post,460835.0951843262
3_sear,2011,post,861212.7854919434
2_amr,2011,post,118518.00102853775
6_wpr,2011,post,203659.54359817505
2_amr,2012,post,114018.00394296646
6_wpr,2012,post,193759.27739357948
5_emr,2012,post,446010.39501953125
3_sear,2012,post,777663.0593414307
1_afr,2012,post,1961948.4373321533
4_eur,2012,post,61539.68471765518
1_afr,2013,post,1933085.9584655762
5_emr,2013,post,428961.7035522461
2_amr,2013,post,109737.99961948395
4_eur,2013,post,58887.71932268143
3_sear,2013,post,709529.9546489716
6_wpr,2013,post,185085.23446071148
2_amr,2014,post,105979.99943828583
5_emr,2014,post,431751.5227661133
3_sear,2014,post,669735.8273143768
4_eur,2014,post,55897.426656126976
1_afr,2014,post,1837288.6321105957
6_wpr,2014,post,179859.16975581646
2_amr,2015,post,102868.00097894669
4_eur,2015,post,53006.31310558319
6_wpr,2015,post,168529.9101922512
1_afr,2015,post,1793599.8987808228
5_emr,2015,post,415846.4871749878
3_sear,2015,post,621978.4598693848
2_amr,2016,post,101625.0026717186
1_afr,2016,post,1759945.3847351074
3_sear,2016,post,571040.4513549805
5_emr,2016,post,400973.0447998047
6_wpr,2016,post,159872.38807702065
4_eur,2016,post,50354.384068489075
1_afr,2017,post,1663389.185119152
2_amr,2017,post,98122.00203227997
4_eur,2017,post,47841.08385658264
3_sear,2017,post,532137.8197631836
5_emr,2017,post,388006.33210754395
6_wpr,2017,post,151942.85405361652
