country,year,fpost8
afg,2000,0.00430719368159771
afg,2001,0.0040223253890872
afg,2002,0.0058554732240736485
afg,2003,0.0035040536895394325
afg,2004,0.0016700088744983077
afg,2005,0.0011190082877874374
afg,2006,0.0008856545318849385
afg,2007,0.0010553820757195354
afg,2008,0.000858371495269239
afg,2009,0.0007572270114906132
afg,2010,0.0009563837666064501
afg,2011,0.0011906246654689312
afg,2012,0.0005945885786786675
afg,2013,0.000574644363950938
afg,2014,0.0008459678501822054
afg,2015,0.0011258948361501098
afg,2016,0.002039212267845869
afg,2017,0.0020795089658349752
ago,2000,0.13256989419460297
ago,2001,0.130897656083107
ago,2002,0.1339237540960312
ago,2003,0.13963094353675842
ago,2004,0.14019544422626495
ago,2005,0.13491588830947876
ago,2006,0.1278490573167801
ago,2007,0.12104054540395737
ago,2008,0.11209969967603683
ago,2009,0.10245554894208908
ago,2010,0.09776696562767029
ago,2011,0.093372642993927
ago,2012,0.09053058922290802
ago,2013,0.0890900120139122
ago,2014,0.09315086901187897
ago,2015,0.10665412247180939
ago,2016,0.10964249074459076
ago,2017,0.111208476126194
alb,2000,0.0
alb,2001,0.0
alb,2002,0.0
alb,2003,0.0
alb,2004,0.0
alb,2005,0.0
alb,2006,0.0
alb,2007,0.0
alb,2008,0.0
alb,2009,0.0
alb,2010,0.0
alb,2011,0.0
alb,2012,0.0
alb,2013,0.0
alb,2014,0.0
alb,2015,0.0
alb,2016,0.0
alb,2017,0.0
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.0
are,2001,0.0
are,2002,0.0
are,2003,0.0
are,2004,0.0
are,2005,0.0
are,2006,0.0
are,2007,0.0
are,2008,0.0
are,2009,0.0
are,2010,0.0
are,2011,0.0
are,2012,0.0
are,2013,0.0
are,2014,0.0
are,2015,0.0
are,2016,0.0
are,2017,0.0
arg,2000,0.0
arg,2001,0.0
arg,2002,0.0
arg,2003,0.0
arg,2004,0.0
arg,2005,0.0
arg,2006,0.0
arg,2007,0.0
arg,2008,0.0
arg,2009,0.0
arg,2010,0.0
arg,2011,0.0
arg,2012,0.0
arg,2013,0.0
arg,2014,0.0
arg,2015,0.0
arg,2016,0.0
arg,2017,0.0
arm,2000,0.0
arm,2001,0.0
arm,2002,0.0
arm,2003,0.0
arm,2004,0.0
arm,2005,0.0
arm,2006,0.0
arm,2007,0.0
arm,2008,0.0
arm,2009,0.0
arm,2010,0.0
arm,2011,0.0
arm,2012,0.0
arm,2013,0.0
arm,2014,0.0
arm,2015,0.0
arm,2016,0.0
arm,2017,0.0
atg,2000,0.0
atg,2001,0.0
atg,2002,0.0
atg,2003,0.0
atg,2004,0.0
atg,2005,0.0
atg,2006,0.0
atg,2007,0.0
atg,2008,0.0
atg,2009,0.0
atg,2010,0.0
atg,2011,0.0
atg,2012,0.0
atg,2013,0.0
atg,2014,0.0
atg,2015,0.0
atg,2016,0.0
atg,2017,0.0
aus,2000,0.0
aus,2001,0.0
aus,2002,0.0
aus,2003,0.0
aus,2004,0.0
aus,2005,0.0
aus,2006,0.0
aus,2007,0.0
aus,2008,0.0
aus,2009,0.0
aus,2010,0.005015374626964331
aus,2011,0.0
aus,2012,0.0
aus,2013,0.0
aus,2014,0.0
aus,2015,0.0
aus,2016,0.0
aus,2017,0.0
aut,2000,0.0
aut,2001,0.0
aut,2002,0.0
aut,2003,0.0
aut,2004,0.0
aut,2005,0.0
aut,2006,0.0
aut,2007,0.0
aut,2008,0.0
aut,2009,0.0
aut,2010,0.0
aut,2011,0.0
aut,2012,0.0
aut,2013,0.0
aut,2014,0.0
aut,2015,0.0
aut,2016,0.0
aut,2017,0.0
aze,2000,0.0
aze,2001,0.0
aze,2002,0.0
aze,2003,0.0
aze,2004,0.0
aze,2005,0.0
aze,2006,0.0
aze,2007,0.0
aze,2008,0.0
aze,2009,0.0
aze,2010,0.0
aze,2011,0.0
aze,2012,0.0
aze,2013,0.0
aze,2014,0.0
aze,2015,0.0
aze,2016,0.0
aze,2017,0.0
bdi,2000,0.3323279619216919
bdi,2001,0.31083786487579346
bdi,2002,0.2937633991241455
bdi,2003,0.2671830952167511
bdi,2004,0.22874026000499725
bdi,2005,0.1889631748199463
bdi,2006,0.16669470071792603
bdi,2007,0.14785714447498322
bdi,2008,0.13480985164642334
bdi,2009,0.12619894742965698
bdi,2010,0.12104038149118423
bdi,2011,0.11903560906648636
bdi,2012,0.128116175532341
bdi,2013,0.1295364797115326
bdi,2014,0.13718903064727783
bdi,2015,0.14298397302627563
bdi,2016,0.1501093953847885
bdi,2017,0.15503156185150146
bel,2000,0.0
bel,2001,0.0
bel,2002,0.0
bel,2003,0.0
bel,2004,0.0
bel,2005,0.0
bel,2006,0.0
bel,2007,0.0
bel,2008,0.0
bel,2009,0.0
bel,2010,0.0
bel,2011,0.0
bel,2012,0.0
bel,2013,0.0
bel,2014,0.0
bel,2015,0.0
bel,2016,0.0
bel,2017,0.0
ben,2000,0.235589399933815
ben,2001,0.21649697422981262
ben,2002,0.23978658020496368
ben,2003,0.26191291213035583
ben,2004,0.297584593296051
ben,2005,0.3337266445159912
ben,2006,0.36962398886680603
ben,2007,0.3725670278072357
ben,2008,0.3495335280895233
ben,2009,0.3131313920021057
ben,2010,0.27686214447021484
ben,2011,0.24873976409435272
ben,2012,0.22765973210334778
ben,2013,0.21363793313503265
ben,2014,0.21543700993061066
ben,2015,0.22799131274223328
ben,2016,0.23910120129585266
ben,2017,0.2487988919019699
bfa,2000,0.48984861373901367
bfa,2001,0.5310215353965759
bfa,2002,0.5114114284515381
bfa,2003,0.5156893730163574
bfa,2004,0.5262961983680725
bfa,2005,0.5238442420959473
bfa,2006,0.5281825661659241
bfa,2007,0.54764324426651
bfa,2008,0.5709142088890076
bfa,2009,0.4432394802570343
bfa,2010,0.5542279481887817
bfa,2011,0.531952440738678
bfa,2012,0.39067360758781433
bfa,2013,0.4095896780490875
bfa,2014,0.386953204870224
bfa,2015,0.3509809374809265
bfa,2016,0.31539541482925415
bfa,2017,0.29552116990089417
bgd,2000,0.00023026113922242075
bgd,2001,0.00025234700297005475
bgd,2002,0.00027078052517026663
bgd,2003,0.0002955998352263123
bgd,2004,0.00030088567291386425
bgd,2005,0.00032325886422768235
bgd,2006,0.0002783345407806337
bgd,2007,0.00037761646672151983
bgd,2008,0.0006928056827746332
bgd,2009,0.0004465131205506623
bgd,2010,0.0008377572521567345
bgd,2011,0.0008153228554874659
bgd,2012,0.000305530265904963
bgd,2013,0.00022544764215126634
bgd,2014,0.0005442779511213303
bgd,2015,0.0004971564630977809
bgd,2016,0.0003510788083076477
bgd,2017,0.00037909697857685387
bgr,2000,0.0
bgr,2001,0.0
bgr,2002,0.0
bgr,2003,0.0
bgr,2004,0.0
bgr,2005,0.0
bgr,2006,0.0
bgr,2007,0.0
bgr,2008,0.0
bgr,2009,0.0
bgr,2010,0.0
bgr,2011,0.0
bgr,2012,0.0
bgr,2013,0.0
bgr,2014,0.0
bgr,2015,0.0
bgr,2016,0.0
bgr,2017,0.0
bhr,2000,0.0
bhr,2001,0.0
bhr,2002,0.0
bhr,2003,0.0
bhr,2004,0.0
bhr,2005,0.0
bhr,2006,0.0
bhr,2007,0.0
bhr,2008,0.0
bhr,2009,0.0
bhr,2010,0.0
bhr,2011,0.0
bhr,2012,0.0
bhr,2013,0.0
bhr,2014,0.0
bhr,2015,0.0
bhr,2016,0.0
bhr,2017,0.0
bhs,2000,0.0
bhs,2001,0.0
bhs,2002,0.0
bhs,2003,0.0
bhs,2004,0.0
bhs,2005,0.0
bhs,2006,0.0
bhs,2007,0.0
bhs,2008,0.0
bhs,2009,0.0
bhs,2010,0.0
bhs,2011,0.0
bhs,2012,0.0
bhs,2013,0.0
bhs,2014,0.0
bhs,2015,0.0
bhs,2016,0.0
bhs,2017,0.0
bih,2000,0.0
bih,2001,0.0
bih,2002,0.0
bih,2003,0.0
bih,2004,0.0
bih,2005,0.0
bih,2006,0.0
bih,2007,0.0
bih,2008,0.0
bih,2009,0.0
bih,2010,0.0
bih,2011,0.0
bih,2012,0.0
bih,2013,0.0
bih,2014,0.0
bih,2015,0.0
bih,2016,0.0
bih,2017,0.0
blr,2000,0.0
blr,2001,0.0
blr,2002,0.0
blr,2003,0.0
blr,2004,0.0
blr,2005,0.0
blr,2006,0.0
blr,2007,0.0
blr,2008,0.0
blr,2009,0.0
blr,2010,0.0
blr,2011,0.0
blr,2012,0.0
blr,2013,0.0
blr,2014,0.0
blr,2015,0.0
blr,2016,0.0
blr,2017,0.0
blz,2000,0.0
blz,2001,0.0
blz,2002,0.0
blz,2003,0.0
blz,2004,0.0
blz,2005,0.0
blz,2006,0.0
blz,2007,0.0
blz,2008,0.0
blz,2009,0.0
blz,2010,0.0
blz,2011,0.0
blz,2012,0.0
blz,2013,0.0
blz,2014,0.0
blz,2015,0.0
blz,2016,0.0
blz,2017,0.0
bol,2000,0.0003975827421527356
bol,2001,0.00016957774641923606
bol,2002,0.0001821327896323055
bol,2003,0.00019718034309335053
bol,2004,0.00021427040337584913
bol,2005,0.0003493653202895075
bol,2006,0.00038027632399462163
bol,2007,0.0002755579771474004
bol,2008,0.0001489646965637803
bol,2009,0.00016038490866776556
bol,2010,0.00034429330844432116
bol,2011,0.000183150201337412
bol,2012,0.0001939864014275372
bol,2013,0.0002047921298071742
bol,2014,0.00021496131375897676
bol,2015,0.0
bol,2016,0.0
bol,2017,0.0
bra,2000,0.0009400423732586205
bra,2001,0.0005818973295390606
bra,2002,0.0004351159150246531
bra,2003,0.0005279103643260896
bra,2004,0.0005603525205515325
bra,2005,0.000763704243581742
bra,2006,0.0007517148624174297
bra,2007,0.0006909895455464721
bra,2008,0.0005679881433025002
bra,2009,0.0007791994721628726
bra,2010,0.0007402569171972573
bra,2011,0.0006817251560278237
bra,2012,0.0006126006483100355
bra,2013,0.00039366204873658717
bra,2014,0.0004116073250770569
bra,2015,0.00037080197944305837
bra,2016,0.00035182948340661824
bra,2017,0.00032341526821255684
brb,2000,0.0
brb,2001,0.0
brb,2002,0.0
brb,2003,0.0
brb,2004,0.0
brb,2005,0.0
brb,2006,0.0
brb,2007,0.0
brb,2008,0.0
