global,year,age_group,cause,fraction_of_deaths
global,2000,neo,2,0.0005110501078888774
global,2001,neo,2,0.0005267419619485736
global,2002,neo,2,0.0005380046204663813
global,2003,neo,2,0.0005393777973949909
global,2004,neo,2,0.0005394137697294354
global,2005,neo,2,0.0005299526383168995
global,2006,neo,2,0.0005204947083257139
global,2007,neo,2,0.0005024663987569511
global,2008,neo,2,0.00047035457100719213
global,2009,neo,2,0.00044521610834635794
global,2010,neo,2,0.0004218555986881256
global,2011,neo,2,0.00041975188651122153
global,2012,neo,2,0.00040006570634432137
global,2013,neo,2,0.00035590206971392035
global,2014,neo,2,0.00031815897091291845
global,2015,neo,2,0.0002951509668491781
global,2016,neo,2,0.0002934051735792309
global,2017,neo,2,0.00029835852910764515
global,2000,neo,3,0.010331107303500175
global,2001,neo,3,0.010086389258503914
global,2002,neo,3,0.00987282209098339
global,2003,neo,3,0.009670722298324108
global,2004,neo,3,0.009437358938157558
global,2005,neo,3,0.009185035713016987
global,2006,neo,3,0.008851194754242897
global,2007,neo,3,0.0085292374715209
global,2008,neo,3,0.008187452331185341
global,2009,neo,3,0.007860309444367886
global,2010,neo,3,0.007593120448291302
global,2011,neo,3,0.007360634859651327
global,2012,neo,3,0.00715914461761713
global,2013,neo,3,0.0069344537332654
global,2014,neo,3,0.006666991859674454
global,2015,neo,3,0.006424817722290754
global,2016,neo,3,0.006326061207801104
global,2017,neo,3,0.006337370723485947
global,2000,neo,5,0.04275941848754883
global,2001,neo,5,0.03905061259865761
global,2002,neo,5,0.035437025129795074
global,2003,neo,5,0.031924281269311905
global,2004,neo,5,0.028526438400149345
global,2005,neo,5,0.02580118738114834
global,2006,neo,5,0.02358315698802471
global,2007,neo,5,0.021685559302568436
global,2008,neo,5,0.019909070804715157
global,2009,neo,5,0.018411152064800262
global,2010,neo,5,0.017363833263516426
global,2011,neo,5,0.01666264422237873
global,2012,neo,5,0.015904918313026428
global,2013,neo,5,0.014911564067006111
global,2014,neo,5,0.01377100683748722
global,2015,neo,5,0.0126951327547431
global,2016,neo,5,0.012074084021151066
global,2017,neo,5,0.012185241095721722
global,2000,neo,6,0.0
global,2001,neo,6,0.0
global,2002,neo,6,0.0
global,2003,neo,6,0.0
global,2004,neo,6,0.0
global,2005,neo,6,0.0
global,2006,neo,6,0.0
global,2007,neo,6,0.0
global,2008,neo,6,0.0
global,2009,neo,6,0.0
global,2010,neo,6,0.0
global,2011,neo,6,0.0
global,2012,neo,6,0.0
global,2013,neo,6,0.0
global,2014,neo,6,0.0
global,2015,neo,6,0.0
global,2016,neo,6,0.0
global,2017,neo,6,0.0
global,2000,neo,7,0.013416283763945103
global,2001,neo,7,0.013743839226663113
global,2002,neo,7,0.013992243446409702
global,2003,neo,7,0.014306969940662384
global,2004,neo,7,0.014566697180271149
global,2005,neo,7,0.01467579323798418
global,2006,neo,7,0.015070714056491852
global,2007,neo,7,0.01530844159424305
global,2008,neo,7,0.015429542399942875
global,2009,neo,7,0.015490986406803131
global,2010,neo,7,0.015318088233470917
global,2011,neo,7,0.014937211759388447
global,2012,neo,7,0.014594463631510735
global,2013,neo,7,0.014380527660250664
global,2014,neo,7,0.014246570877730846
global,2015,neo,7,0.014031706377863884
global,2016,neo,7,0.013968100771307945
global,2017,neo,7,0.01392677053809166
global,2000,neo,8,0.0
global,2001,neo,8,0.0
global,2002,neo,8,0.0
global,2003,neo,8,0.0
global,2004,neo,8,0.0
global,2005,neo,8,0.0
global,2006,neo,8,0.0
global,2007,neo,8,0.0
global,2008,neo,8,0.0
global,2009,neo,8,0.0
global,2010,neo,8,0.0
global,2011,neo,8,0.0
global,2012,neo,8,0.0
global,2013,neo,8,0.0
global,2014,neo,8,0.0
global,2015,neo,8,0.0
global,2016,neo,8,0.0
global,2017,neo,8,0.0
global,2000,neo,9,0.07696772366762161
global,2001,neo,9,0.075508713722229
global,2002,neo,9,0.07421645522117615
global,2003,neo,9,0.07314953953027725
global,2004,neo,9,0.0719178095459938
global,2005,neo,9,0.07039045542478561
global,2006,neo,9,0.06883914768695831
global,2007,neo,9,0.06736584007740021
global,2008,neo,9,0.06627799570560455
global,2009,neo,9,0.06530910730361938
global,2010,neo,9,0.06441764533519745
global,2011,neo,9,0.06379841268062592
global,2012,neo,9,0.06305168569087982
global,2013,neo,9,0.06229400634765625
global,2014,neo,9,0.06167275831103325
global,2015,neo,9,0.061124805361032486
global,2016,neo,9,0.06109996512532234
global,2017,neo,9,0.061325326561927795
global,2000,neo,10,0.31223437190055847
global,2001,neo,10,0.3141199052333832
global,2002,neo,10,0.3159303367137909
global,2003,neo,10,0.3183731436729431
global,2004,neo,10,0.32067057490348816
global,2005,neo,10,0.32382676005363464
global,2006,neo,10,0.3262183368206024
