country,year,live_births
afg,2000,994521
afg,2001,1022927
afg,2002,1048815
afg,2003,1072468
afg,2004,1093639
afg,2005,1111576
afg,2006,1125378
afg,2007,1134763
afg,2008,1139947
afg,2009,1141543
afg,2010,1140714
afg,2011,1138910
afg,2012,1137483
afg,2013,1137448
afg,2014,1139284
afg,2015,1142962
afg,2016,1147923
afg,2017,1153075
ago,2000,813122
ago,2001,835467
ago,2002,859326
ago,2003,884421
ago,2004,910452
ago,2005,936919
ago,2006,963262
ago,2007,989081
ago,2008,1014132
ago,2009,1038341
ago,2010,1061812
ago,2011,1084837
ago,2012,1107919
ago,2013,1131498
ago,2014,1155798
ago,2015,1180970
ago,2016,1207049
ago,2017,1233903
alb,2000,51009
alb,2001,48349
alb,2002,45844
alb,2003,43490
alb,2004,41327
alb,2005,39423
alb,2006,37855
alb,2007,36647
alb,2008,35794
alb,2009,35266
alb,2010,35002
alb,2011,34918
alb,2012,34917
alb,2013,34916
alb,2014,34867
alb,2015,34750
alb,2016,34578
alb,2017,34399
and,2000,726
and,2001,744
and,2002,763
and,2003,781
and,2004,797
and,2005,809
and,2006,816
and,2007,818
and,2008,814
and,2009,805
and,2010,790
and,2011,770
and,2012,745
and,2013,717
and,2014,687
and,2015,656
and,2016,626
and,2017,598
are,2000,53255
are,2001,55588
are,2002,58588
are,2003,62165
are,2004,66200
are,2005,70544
are,2006,75027
are,2007,79426
are,2008,83507
are,2009,87076
are,2010,89906
are,2011,91815
are,2012,92835
are,2013,93061
are,2014,92590
are,2015,91583
are,2016,90246
are,2017,88826
arg,2000,720022
arg,2001,723898
arg,2002,727910
arg,2003,731563
arg,2004,734678
arg,2005,737273
arg,2006,739539
arg,2007,741771
arg,2008,744142
arg,2009,746612
arg,2010,749032
arg,2011,751175
arg,2012,752814
arg,2013,753790
arg,2014,754062
arg,2015,753646
arg,2016,752631
arg,2017,751214
arm,2000,39577
arm,2001,39492
arm,2002,39950
arm,2003,40696
arm,2004,41565
arm,2005,42402
arm,2006,43092
arm,2007,43605
arm,2008,43915
arm,2009,43975
arm,2010,43763
arm,2011,43297
arm,2012,42650
arm,2013,41891
arm,2014,41053
arm,2015,40158
arm,2016,39220
arm,2017,38243
atg,2000,1707
atg,2001,1721
atg,2002,1725
atg,2003,1722
atg,2004,1713
atg,2005,1701
atg,2006,1686
atg,2007,1671
atg,2008,1658
atg,2009,1647
atg,2010,1639
atg,2011,1635
atg,2012,1633
atg,2013,1633
atg,2014,1634
atg,2015,1636
atg,2016,1639
atg,2017,1642
aus,2000,247688
aus,2001,248926
aus,2002,251980
aus,2003,256766
aus,2004,263065
aus,2005,270377
aus,2006,278018
aus,2007,285266
aus,2008,291561
aus,2009,296630
aus,2010,300418
aus,2011,303121
aus,2012,305224
aus,2013,307116
aus,2014,308924
aus,2015,310703
aus,2016,312428
aus,2017,313981
aut,2000,80305
aut,2001,79325
aut,2002,78549
aut,2003,77931
aut,2004,77480
aut,2005,77211
aut,2006,77139
aut,2007,77261
aut,2008,77563
aut,2009,78026
aut,2010,78642
aut,2011,79401
aut,2012,80274
aut,2013,81215
aut,2014,82175
aut,2015,83099
aut,2016,83940
aut,2017,84667
aze,2000,140820
aze,2001,137886
aze,2002,136235
aze,2003,135673
aze,2004,136178
aze,2005,137939
aze,2006,141205
aze,2007,145911
aze,2008,151756
aze,2009,158281
aze,2010,164771
aze,2011,170436
aze,2012,174688
aze,2013,177125
aze,2014,177564
aze,2015,176026
aze,2016,172784
aze,2017,168492
bdi,2000,274354
bdi,2001,279535
bdi,2002,286728
bdi,2003,295761
bdi,2004,306441
bdi,2005,318448
bdi,2006,331367
bdi,2007,344685
bdi,2008,357931
bdi,2009,370777
bdi,2010,383035
bdi,2011,394687
bdi,2012,405905
bdi,2013,416787
bdi,2014,427265
bdi,2015,437227
bdi,2016,446558
bdi,2017,455212
bel,2000,113987
bel,2001,114358
bel,2002,115242
bel,2003,116559
bel,2004,118221
bel,2005,120065
bel,2006,121893
bel,2007,123535
bel,2008,124871
bel,2009,125850
bel,2010,126509
bel,2011,126957
bel,2012,127352
bel,2013,127811
bel,2014,128353
bel,2015,128957
bel,2016,129555
bel,2017,130052
ben,2000,291886
ben,2001,298189
ben,2002,304691
ben,2003,311413
ben,2004,318349
ben,2005,325483
ben,2006,332775
ben,2007,340154
ben,2008,347549
ben,2009,354908
ben,2010,362174
ben,2011,369303
ben,2012,376295
ben,2013,383166
ben,2014,389927
ben,2015,396613
ben,2016,403273
ben,2017,409958
bfa,2000,538354
bfa,2001,551406
bfa,2002,564533
bfa,2003,577684
bfa,2004,590767
bfa,2005,603629
bfa,2006,616108
bfa,2007,628133
bfa,2008,639689
bfa,2009,650810
bfa,2010,661587
bfa,2011,672164
bfa,2012,682724
bfa,2013,693429
bfa,2014,704370
bfa,2015,715598
bfa,2016,727105
bfa,2017,738816
bgd,2000,3637441
bgd,2001,3614018
bgd,2002,3583569
bgd,2003,3546385
bgd,2004,3503332
bgd,2005,3456129
bgd,2006,3407066
bgd,2007,3358744
bgd,2008,3313358
bgd,2009,3272201
bgd,2010,3236174
bgd,2011,3205395
bgd,2012,3178508
bgd,2013,3154123
bgd,2014,3131490
bgd,2015,3109722
bgd,2016,3087973
bgd,2017,3065620
bgr,2000,65237
bgr,2001,65424
bgr,2002,66232
bgr,2003,67412
bgr,2004,68763
bgr,2005,70052
bgr,2006,71075
bgr,2007,71747
bgr,2008,72022
bgr,2009,71863
bgr,2010,71306
bgr,2011,70457
bgr,2012,69489
bgr,2013,68543
bgr,2014,67675
bgr,2015,66913
bgr,2016,66242
bgr,2017,65596
bhr,2000,14837
bhr,2001,15204
bhr,2002,15627
bhr,2003,16093
bhr,2004,16589
bhr,2005,17108
bhr,2006,17645
bhr,2007,18194
bhr,2008,18742
bhr,2009,19276
bhr,2010,19777
bhr,2011,20231
bhr,2012,20631
bhr,2013,20974
bhr,2014,21258
bhr,2015,21489
bhr,2016,21674
bhr,2017,21828
bhs,2000,5285
bhs,2001,5138
bhs,2002,5043
bhs,2003,5006
bhs,2004,5028
bhs,2005,5099
bhs,2006,5200
bhs,2007,5307
bhs,2008,5401
bhs,2009,5471
bhs,2010,5515
bhs,2011,5537
bhs,2012,5547
bhs,2013,5554
bhs,2014,5562
bhs,2015,5570
bhs,2016,5577
bhs,2017,5581
bih,2000,41339
bih,2001,39235
bih,2002,37483
bih,2003,36178
bih,2004,35328
bih,2005,34873
bih,2006,34691
bih,2007,34612
bih,2008,34499
bih,2009,34296
bih,2010,33985
bih,2011,33598
bih,2012,33216
bih,2013,32901
bih,2014,32668
bih,2015,32523
bih,2016,32468
bih,2017,32478
blr,2000,88740
blr,2001,88436
blr,2002,89053
blr,2003,90412
blr,2004,92357
blr,2005,94771
blr,2006,97566
blr,2007,100622
blr,2008,103770
blr,2009,106809
blr,2010,109516
blr,2011,111705
blr,2012,113309
blr,2013,114297
blr,2014,114636
blr,2015,114344
blr,2016,113493
blr,2017,112244
blz,2000,7349
blz,2001,7424
blz,2002,7473
blz,2003,7496
blz,2004,7494
blz,2005,7479
blz,2006,7463
blz,2007,7462
blz,2008,7485
blz,2009,7537
blz,2010,7618
blz,2011,7722
blz,2012,7839
blz,2013,7958
blz,2014,8074
blz,2015,8181
blz,2016,8280
blz,2017,8369
bol,2000,257795
bol,2001,257952
bol,2002,257878
bol,2003,257639
bol,2004,257275
bol,2005,256794
bol,2006,256185
bol,2007,255455
bol,2008,254640
bol,2009,253805
bol,2010,253049
bol,2011,252481
bol,2012,252158
bol,2013,252107
bol,2014,252324
bol,2015,252768
bol,2016,253367
bol,2017,254011
bra,2000,3538418
bra,2001,3483166
