region,year,live_births
5_emr,2000,13916665
6_wpr,2000,23383814
1_afr,2000,27143379
2_amr,2000,15906970
3_sear,2000,39753939
4_eur,2000,10266951
5_emr,2001,14015884
2_amr,2001,15854647
3_sear,2001,39782437
6_wpr,2001,23256747
1_afr,2001,27708727
4_eur,2001,10253593
5_emr,2002,14150603
3_sear,2002,39782768
4_eur,2002,10290249
1_afr,2002,28290826
6_wpr,2002,23238795
2_amr,2002,15802071
6_wpr,2003,23293581
4_eur,2003,10370126
3_sear,2003,39743526
1_afr,2003,28889371
5_emr,2003,14321704
2_amr,2003,15748217
4_eur,2004,10484722
5_emr,2004,14528542
6_wpr,2004,23396012
1_afr,2004,29502122
3_sear,2004,39655892
2_amr,2004,15693144
4_eur,2005,10623393
2_amr,2005,15636133
6_wpr,2005,23530686
5_emr,2005,14772989
3_sear,2005,39504995
1_afr,2005,30126862
1_afr,2006,30760956
2_amr,2006,15576239
5_emr,2006,15056082
4_eur,2006,10774633
3_sear,2006,39277511
6_wpr,2006,23692108
5_emr,2007,15368997
1_afr,2007,31399459
6_wpr,2007,23878249
2_amr,2007,15513640
3_sear,2007,38978078
4_eur,2007,10925887
5_emr,2008,15698282
6_wpr,2008,24079092
3_sear,2008,38619740
2_amr,2008,15449354
4_eur,2008,11064922
1_afr,2008,32036561
5_emr,2009,16029595
1_afr,2009,32666829
6_wpr,2009,24274364
4_eur,2009,11181792
2_amr,2009,15384994
3_sear,2009,38218612
6_wpr,2010,24439845
4_eur,2010,11268167
1_afr,2010,33283434
3_sear,2010,37802017
2_amr,2010,15323724
5_emr,2010,16343297
1_afr,2011,33880371
4_eur,2011,11319949
5_emr,2011,16619730
3_sear,2011,37401530
2_amr,2011,15269189
6_wpr,2011,24553712
2_amr,2012,15223467
6_wpr,2012,24605678
5_emr,2012,16847391
3_sear,2012,37041986
1_afr,2012,34456310
4_eur,2012,11341209
1_afr,2013,35011700
5_emr,2013,17019317
2_amr,2013,15187300
4_eur,2013,11336323
3_sear,2013,36740234
6_wpr,2013,24589505
2_amr,2014,15160120
5_emr,2014,17132504
3_sear,2014,36503029
4_eur,2014,11306693
1_afr,2014,35547599
6_wpr,2014,24500953
2_amr,2015,15140151
4_eur,2015,11254504
6_wpr,2015,24339763
1_afr,2015,36067054
5_emr,2015,17189032
3_sear,2015,36326841
2_amr,2016,15124495
1_afr,2016,36574871
3_sear,2016,36197304
5_emr,2016,17197167
6_wpr,2016,24112074
4_eur,2016,11182819
1_afr,2017,37077736
2_amr,2017,15109081
4_eur,2017,11096500
3_sear,2017,36087947
5_emr,2017,17174195
6_wpr,2017,23836368
