global,year,neo17
global,2000,60801.62616887223
global,2001,57083.21359250555
global,2002,54112.90609263256
global,2003,51273.896778719034
global,2004,49568.398405767046
global,2005,47586.30497087585
global,2006,45280.03367928183
global,2007,43494.23211776279
global,2008,42461.14808943495
global,2009,41506.666904985905
global,2010,40043.92594182864
global,2011,38612.9159618523
global,2012,37583.256400747225
global,2013,36133.575407306664
global,2014,34844.12975142151
global,2015,34007.2060043579
global,2016,33112.62809052039
global,2017,32097.95937509928
