country,year,nnd
afg,2000,60411.0078125
afg,2001,61031.0
afg,2002,61469.0078125
afg,2003,61620.0
afg,2004,61509.0
afg,2005,61059.0
afg,2006,60326.00390625
afg,2007,59329.00390625
afg,2008,58035.0
afg,2009,56524.0
afg,2010,54823.0
afg,2011,53137.0
afg,2012,51521.0
afg,2013,50022.0
afg,2014,48661.99609375
afg,2015,47429.0
afg,2016,46278.9921875
afg,2017,45218.9921875
ago,2000,41171.00390625
ago,2001,41427.0
ago,2002,41553.0
ago,2003,41539.99609375
ago,2004,41461.0
ago,2005,41059.0
ago,2006,40701.0
ago,2007,40307.0
ago,2008,39804.0
ago,2009,39307.99609375
ago,2010,38757.0
ago,2011,38181.0
ago,2012,37551.0
ago,2013,36962.0
ago,2014,36476.0
ago,2015,36146.99609375
ago,2016,36029.0
ago,2017,35914.0
alb,2000,563.0
alb,2001,514.0
alb,2002,465.9999694824219
alb,2003,420.0
alb,2004,378.0000305175781
alb,2005,341.0
alb,2006,309.0
alb,2007,281.0000305175781
alb,2008,258.0
alb,2009,238.99998474121094
alb,2010,224.00001525878906
alb,2011,212.0
alb,2012,203.99998474121094
alb,2013,200.0
alb,2014,200.99998474121094
alb,2015,205.0
alb,2016,207.99998474121094
alb,2017,207.97488403320312
and,2000,2.0
and,2001,1.0
and,2002,1.0
and,2003,1.0
and,2004,1.0
and,2005,1.0
and,2006,1.0
and,2007,1.0
and,2008,1.0
and,2009,1.0
and,2010,1.0
and,2011,1.0
and,2012,1.0
and,2013,1.0
and,2014,1.0
and,2015,1.0
and,2016,1.0
and,2017,1.0
are,2000,312.0
are,2001,316.0
are,2002,323.9999694824219
are,2003,334.0000305175781
are,2004,345.0
are,2005,355.0000305175781
are,2006,365.0
are,2007,375.0000305175781
are,2008,383.0000305175781
are,2009,388.0
are,2010,391.0000305175781
are,2011,392.0
are,2012,396.0000305175781
are,2013,400.0000305175781
are,2014,406.9999694824219
are,2015,415.0000305175781
are,2016,420.0
are,2017,421.9978332519531
arg,2000,7595.00048828125
arg,2001,7564.0
arg,2002,7499.0
arg,2003,7322.0
arg,2004,6989.0
arg,2005,6527.0
arg,2006,6122.00048828125
arg,2007,5933.0
arg,2008,5901.99951171875
arg,2009,5873.00048828125
arg,2010,5768.00048828125
arg,2011,5656.00048828125
arg,2012,5593.00048828125
arg,2013,5521.0
arg,2014,5342.0
arg,2015,5042.00048828125
arg,2016,4711.0
arg,2017,4439.00048828125
arm,2000,622.0
arm,2001,590.0
arm,2002,568.0
arm,2003,550.0
arm,2004,534.0
arm,2005,519.0
arm,2006,501.0000305175781
arm,2007,482.0
arm,2008,460.9999694824219
arm,2009,440.0
arm,2010,416.0
arm,2011,391.0000305175781
arm,2012,366.0
arm,2013,341.0
arm,2014,318.0000305175781
arm,2015,295.9999694824219
arm,2016,274.0
arm,2017,254.9532012939453
atg,2000,15.0
atg,2001,14.0
atg,2002,13.999999046325684
atg,2003,12.999999046325684
atg,2004,13.0
atg,2005,12.0
atg,2006,10.999998092651367
atg,2007,11.0
atg,2008,10.0
atg,2009,9.0
atg,2010,9.0
atg,2011,8.0
atg,2012,8.0
atg,2013,7.0
atg,2014,7.0
atg,2015,7.0
atg,2016,7.000000476837158
atg,2017,6.0
aus,2000,872.0
aus,2001,867.0
aus,2002,864.9999389648438
aus,2003,867.9999389648438
aus,2004,875.9999389648438
aus,2005,884.0
aus,2006,888.0000610351562
aus,2007,886.0
aus,2008,875.0000610351562
aus,2009,856.0
aus,2010,831.0
aus,2011,803.0000610351562
aus,2012,775.0
aus,2013,752.0
aus,2014,732.0
aus,2015,713.0
aus,2016,694.0
aus,2017,674.0
aut,2000,248.0
aut,2001,242.99998474121094
aut,2002,239.00001525878906
aut,2003,232.99998474121094
aut,2004,227.00001525878906
aut,2005,219.0
aut,2006,213.0
aut,2007,207.0
aut,2008,203.0
aut,2009,198.99998474121094
aut,2010,196.0
aut,2011,194.00001525878906
aut,2012,192.0
aut,2013,191.00001525878906
aut,2014,189.0
aut,2015,187.0
aut,2016,185.00001525878906
aut,2017,182.0
aze,2000,4803.0
aze,2001,4512.0
aze,2002,4255.0
aze,2003,4030.000244140625
aze,2004,3836.999755859375
aze,2005,3685.0
aze,2006,3575.0
aze,2007,3510.0
aze,2008,3453.0
aze,2009,3401.0
aze,2010,3339.999755859375
aze,2011,3198.0
aze,2012,3022.0
aze,2013,2824.0
aze,2014,2611.0
aze,2015,2395.0
aze,2016,2184.0
aze,2017,1983.0003662109375
bdi,2000,10166.9990234375
bdi,2001,10160.0
bdi,2002,10219.0
bdi,2003,10329.0009765625
bdi,2004,10456.0
bdi,2005,10579.0009765625
bdi,2006,10674.0
bdi,2007,10732.9990234375
bdi,2008,10757.0009765625
bdi,2009,10737.0009765625
bdi,2010,10677.0
bdi,2011,10592.0
bdi,2012,10485.0009765625
bdi,2013,10391.0
bdi,2014,10297.0
bdi,2015,10237.0
bdi,2016,10157.0
bdi,2017,10061.0
bel,2000,340.0
bel,2001,328.0
bel,2002,322.0
bel,2003,320.0000305175781
bel,2004,319.0
bel,2005,317.0
bel,2006,313.9999694824219
bel,2007,310.9999694824219
bel,2008,307.0000305175781
bel,2009,302.0
bel,2010,297.0
bel,2011,291.9999694824219
bel,2012,289.0
bel,2013,288.0000305175781
bel,2014,286.0
bel,2015,283.0
bel,2016,278.0
bel,2017,272.0
ben,2000,11679.0
ben,2001,11688.0009765625
ben,2002,11678.0
ben,2003,11674.0
ben,2004,11709.9990234375
ben,2005,11780.0
ben,2006,11910.0
ben,2007,12081.0009765625
ben,2008,12281.0
ben,2009,12500.0
ben,2010,12719.0009765625
ben,2011,12915.0009765625
ben,2012,13092.0
ben,2013,13223.0
ben,2014,13288.0009765625
ben,2015,13355.0009765625
ben,2016,13352.9990234375
ben,2017,13391.0
bfa,2000,22046.0
bfa,2001,22164.001953125
bfa,2002,22249.0
bfa,2003,22267.998046875
bfa,2004,22146.001953125
bfa,2005,21888.998046875
bfa,2006,21578.0
bfa,2007,21207.001953125
bfa,2008,20884.0
bfa,2009,20577.0
bfa,2010,20281.0
bfa,2011,19959.0
bfa,2012,19662.001953125
bfa,2013,19409.0
bfa,2014,19198.0
bfa,2015,19013.0
bfa,2016,18875.0
bfa,2017,18752.0
bgd,2000,154344.984375
bgd,2001,147504.0
bgd,2002,140656.0
bgd,2003,133963.0
bgd,2004,127287.0
bgd,2005,120571.0
bgd,2006,113958.0
bgd,2007,107454.0
bgd,2008,100975.0
bgd,2009,94676.0078125
bgd,2010,88612.0
bgd,2011,82946.9921875
bgd,2012,77688.0
bgd,2013,72959.0078125
bgd,2014,68726.0
bgd,2015,64518.0
bgd,2016,60140.00390625
bgd,2017,56341.00390625
bgr,2000,515.0
bgr,2001,495.0
bgr,2002,477.0
bgr,2003,458.9999694824219
bgr,2004,438.0
bgr,2005,418.0
bgr,2006,400.0000305175781
bgr,2007,386.0
bgr,2008,375.9999694824219
bgr,2009,369.0
bgr,2010,361.0
bgr,2011,347.0
bgr,2012,327.9999694824219
bgr,2013,308.0
bgr,2014,289.0
bgr,2015,273.0
