global,year,nnd
global,2000,3995121.0962951183
global,2001,3889595.352203727
global,2002,3784916.5047807693
global,2003,3681372.08547318
global,2004,3580941.7566890717
global,2005,3483463.05240494
global,2006,3392998.736380279
global,2007,3307398.810064316
global,2008,3224609.2609978914
global,2009,3140764.3758482933
global,2010,3058595.2938201427
global,2011,2975008.5226472616
global,2012,2894537.2131228447
global,2013,2816314.4009703994
global,2014,2740772.836193979
global,2015,2667912.156849265
global,2016,2598858.7604441643
global,2017,2531565.188850343
