region,year,nnd
5_emr,2000,537040.0111923218
6_wpr,2000,441323.21985411644
1_afr,2000,1093052.9940490723
2_amr,2000,203017.00563812256
3_sear,2000,1615087.8623046875
4_eur,2000,105600.00325679779
5_emr,2001,528209.0328979492
2_amr,2001,193867.9956035614
3_sear,2001,1562355.1249847412
6_wpr,2001,413476.1665084362
1_afr,2001,1090964.0311136246
4_eur,2001,100723.00109541416
5_emr,2002,521032.00327301025
3_sear,2002,1508427.124305725
4_eur,2002,96080.00087451935
1_afr,2002,1087619.0366516113
6_wpr,2002,386658.34614658356
2_amr,2002,185099.99352931976
6_wpr,2003,360415.2183113098
4_eur,2003,91967.00445377827
3_sear,2003,1453984.8716201782
1_afr,2003,1083633.0170669556
5_emr,2003,514614.9690208435
2_amr,2003,176757.00500011444
4_eur,2004,88237.00357437134
5_emr,2004,508822.9924621582
6_wpr,2004,334858.60846710205
1_afr,2004,1079110.0213623047
3_sear,2004,1400998.1305847168
2_amr,2004,168915.00023841858
4_eur,2005,84883.00089639425
2_amr,2005,161892.00331401825
6_wpr,2005,310861.92604887486
5_emr,2005,504402.99865722656
3_sear,2005,1347148.128112793
1_afr,2005,1074274.9953756332
1_afr,2006,1069666.958831787
2_amr,2006,155908.00073051453
5_emr,2006,502390.99028778076
4_eur,2006,81747.99873250723
3_sear,2006,1294370.943901062
6_wpr,2006,288913.8438966274
5_emr,2007,502538.0121688843
1_afr,2007,1064843.0151138306
6_wpr,2007,269199.7680358887
2_amr,2007,150799.99981498718
3_sear,2007,1241192.0151367188
4_eur,2007,78825.99979400635
5_emr,2008,503890.0382080078
6_wpr,2008,251806.10029947758
3_sear,2008,1186871.1269569397
2_amr,2008,146079.0016555786
4_eur,2008,76124.99950933456
1_afr,2008,1059837.9943685532
5_emr,2009,505645.00900268555
1_afr,2009,1053697.0477294922
6_wpr,2009,236188.30508852005
4_eur,2009,73626.00145864487
2_amr,2009,141541.00451612473
3_sear,2009,1130067.008052826
6_wpr,2010,222342.2176129818
4_eur,2010,71131.9998216629
1_afr,2010,1046811.0197296143
3_sear,2010,1074100.0586242676
2_amr,2010,137798.0019416809
5_emr,2010,506411.9960899353
1_afr,2011,1038834.990281105
4_eur,2011,68392.00068569183
5_emr,2011,504716.000579834
3_sear,2011,1019802.9904823303
2_amr,2011,133409.00150489807
6_wpr,2011,209853.53911340237
2_amr,2012,130199.00356769562
6_wpr,2012,198397.20920991898
5_emr,2012,500653.99436187744
3_sear,2012,968846.0039138794
1_afr,2012,1030895.0022668839
4_eur,2012,65545.99980258942
1_afr,2013,1021974.0118923187
5_emr,2013,495048.0220565796
2_amr,2013,127588.99909591675
4_eur,2013,62842.998443067074
3_sear,2013,921513.945892334
6_wpr,2013,187346.42359018326
2_amr,2014,125272.99948215485
5_emr,2014,487124.0012588501
3_sear,2014,878213.0007324219
4_eur,2014,60204.9987449646
1_afr,2014,1012947.015045166
6_wpr,2014,177010.82093042135
2_amr,2015,123012.99952793121
4_eur,2015,57231.00122642517
6_wpr,2015,167006.16112363338
1_afr,2015,1004274.0064764023
5_emr,2015,478725.99130249023
3_sear,2015,837661.9971923828
2_amr,2016,122794.00192689896
1_afr,2016,995388.968506813
3_sear,2016,800241.0725059509
5_emr,2016,468843.9924545288
6_wpr,2016,157537.72560882568
4_eur,2016,54052.99944114685
1_afr,2017,987771.9850225449
2_amr,2017,118701.4868645668
4_eur,2017,50991.44469290972
3_sear,2017,766763.6300582886
5_emr,2017,458465.96868133545
6_wpr,2017,148870.67353069782
