country,year,pnd
afg,2000,66168.375
afg,2001,70357.3125
afg,2002,63188.74609375
afg,2003,56220.6015625
afg,2004,55688.328125
afg,2005,56299.8515625
afg,2006,59842.74609375
afg,2007,53061.3515625
afg,2008,51259.85546875
afg,2009,51503.7109375
afg,2010,48097.84765625
afg,2011,46194.23828125
afg,2012,43727.71484375
afg,2013,38284.546875
afg,2014,36644.41796875
afg,2015,35527.296875
afg,2016,33346.2109375
afg,2017,32700.02734375
ago,2000,118255.890625
ago,2001,121646.4140625
ago,2002,121811.171875
ago,2003,114695.9921875
ago,2004,109198.1953125
ago,2005,106458.8203125
ago,2006,102978.328125
ago,2007,98007.78125
ago,2008,93586.0625
ago,2009,89759.3359375
ago,2010,83500.8359375
ago,2011,79116.2578125
ago,2012,75851.0
ago,2013,74397.1875
ago,2014,72860.875
ago,2015,64336.2265625
ago,2016,62027.91796875
ago,2017,60289.375
alb,2000,736.9999389648438
alb,2001,638.9999389648438
alb,2002,554.0
alb,2003,481.0000305175781
alb,2004,417.0
alb,2005,361.0
alb,2006,314.0
alb,2007,277.0
alb,2008,245.0
alb,2009,220.0
alb,2010,199.0
alb,2011,183.0
alb,2012,168.0
alb,2013,152.99998474121094
alb,2014,137.0
alb,2015,120.00000762939453
alb,2016,106.0
alb,2017,95.99999237060547
and,2000,1.999999761581421
and,2001,3.0
and,2002,3.0
and,2003,2.000000238418579
and,2004,2.000000238418579
and,2005,2.0
and,2006,2.0
and,2007,2.0
and,2008,2.0
and,2009,2.0
and,2010,2.0
and,2011,2.0
and,2012,2.0
and,2013,2.0
and,2014,1.9999998807907104
and,2015,1.0
and,2016,1.0
and,2017,1.0
are,2000,273.0
are,2001,272.0
are,2002,274.0
are,2003,278.9999694824219
are,2004,286.0
are,2005,295.0
are,2006,305.0
are,2007,313.9999694824219
are,2008,324.0
are,2009,332.9999694824219
are,2010,341.0
are,2011,349.0
are,2012,356.0
are,2013,364.9999694824219
are,2014,376.0
are,2015,386.9999694824219
are,2016,396.9999694824219
are,2017,398.0
arg,2000,6560.0
arg,2001,6105.0
arg,2002,5715.0
arg,2003,5473.00048828125
arg,2004,5427.0
arg,2005,5562.00048828125
arg,2006,5694.0
arg,2007,5662.0
arg,2008,5487.0
arg,2009,5269.0
arg,2010,5049.99951171875
arg,2011,4775.0
arg,2012,4399.0
arg,2013,4002.0
arg,2014,3712.0
arg,2015,3555.000244140625
arg,2016,3464.0
arg,2017,3354.0
arm,2000,592.0
arm,2001,544.0
arm,2002,509.9999694824219
