global,year,pnd
global,2000,5988005.141334474
global,2001,5800964.354501188
global,2002,5587292.544249475
global,2003,5447300.526717186
global,2004,5135494.638439894
global,2005,4963901.632691324
global,2006,4658704.661719322
global,2007,4397821.792047143
global,2008,4259947.46871686
global,2009,4070349.768068552
global,2010,3913056.6246180534
global,2011,3771469.8678898215
global,2012,3554938.8577473164
global,2013,3425288.5700696707
global,2014,3280512.578041315
global,2015,3155829.0701019764
global,2016,3043810.655707121
global,2017,2881439.2769323587
