region,year,pnd
5_emr,2000,576354.5986328125
6_wpr,2000,389640.44518107176
1_afr,2000,3004497.6954803467
2_amr,2000,214555.000623703
3_sear,2000,1686801.1906814575
4_eur,2000,116156.21073508263
5_emr,2001,563700.0626220703
2_amr,2001,201615.00163316727
3_sear,2001,1628234.092414856
6_wpr,2001,357271.13528490067
1_afr,2001,2942890.7640686035
4_eur,2001,107253.29847759008
5_emr,2002,546645.1464538574
3_sear,2002,1534306.5793380737
4_eur,2002,99681.31483501196
1_afr,2002,2887210.8599243164
6_wpr,2002,329711.6448805332
2_amr,2002,189736.99881768227
6_wpr,2003,304794.3776681423
4_eur,2003,93062.34737944603
3_sear,2003,1471982.9641189575
1_afr,2003,2859756.859359741
5_emr,2003,538772.9809265137
2_amr,2003,178930.99726438522
4_eur,2004,87458.3708679676
5_emr,2004,520449.7643432617
6_wpr,2004,283566.70233535767
1_afr,2004,2616426.4536361694
3_sear,2004,1458507.341430664
2_amr,2004,169086.00582647324
4_eur,2005,82608.39358133078
2_amr,2005,159839.00259494781
6_wpr,2005,265321.02755355835
5_emr,2005,503889.525390625
3_sear,2005,1312934.1091156006
1_afr,2005,2639309.574455261
1_afr,2006,2419238.3385162354
2_amr,2006,151042.99860215187
5_emr,2006,492500.48916625977
4_eur,2006,78544.424431324
3_sear,2006,1266297.3723335266
6_wpr,2006,251081.0386698246
5_emr,2007,476510.671875
1_afr,2007,2314964.274345398
6_wpr,2007,240433.97308743
2_amr,2007,142775.9971499443
3_sear,2007,1148118.382320404
4_eur,2007,75018.49326896667
5_emr,2008,463357.0849914551
6_wpr,2008,229219.4934425354
3_sear,2008,1093869.8109436035
2_amr,2008,135468.00123000145
4_eur,2008,71805.52217817307
1_afr,2008,2266227.5559310913
5_emr,2009,454567.81477355957
1_afr,2009,2179857.428588867
6_wpr,2009,221176.68824791908
4_eur,2009,68875.55513429642
2_amr,2009,129155.00153875351
3_sear,2009,1016717.2797851562
6_wpr,2010,212283.3860912323
4_eur,2010,66204.60465955734
1_afr,2010,2104742.0022964478
3_sear,2010,925229.3367614746
2_amr,2010,159748.00046730042
5_emr,2010,444849.294342041
1_afr,2011,2063358.798751831
4_eur,2011,63885.643835008144
5_emr,2011,460835.0951843262
3_sear,2011,861212.7854919434
2_amr,2011,118518.00102853775
6_wpr,2011,203659.54359817505
2_amr,2012,114018.00394296646
6_wpr,2012,193759.27739357948
5_emr,2012,446010.39501953125
3_sear,2012,777663.0593414307
1_afr,2012,1961948.4373321533
4_eur,2012,61539.68471765518
1_afr,2013,1933085.9584655762
5_emr,2013,428961.7035522461
2_amr,2013,109737.99961948395
4_eur,2013,58887.71932268143
3_sear,2013,709529.9546489716
6_wpr,2013,185085.23446071148
2_amr,2014,105979.99943828583
5_emr,2014,431751.5227661133
3_sear,2014,669735.8273143768
4_eur,2014,55897.426656126976
1_afr,2014,1837288.6321105957
6_wpr,2014,179859.16975581646
2_amr,2015,102868.00097894669
4_eur,2015,53006.31310558319
6_wpr,2015,168529.9101922512
1_afr,2015,1793599.8987808228
5_emr,2015,415846.4871749878
3_sear,2015,621978.4598693848
2_amr,2016,101625.0026717186
1_afr,2016,1759945.3847351074
3_sear,2016,571040.4513549805
5_emr,2016,400973.0447998047
6_wpr,2016,159872.38807702065
4_eur,2016,50354.384068489075
1_afr,2017,1663389.185119152
2_amr,2017,98122.00203227997
4_eur,2017,47841.08385658264
3_sear,2017,532137.8197631836
5_emr,2017,388006.33210754395
6_wpr,2017,151942.85405361652
