global,year,post16
global,2000,336154.2044834354
global,2001,329043.05714818125
global,2002,320070.992340803
global,2003,312232.5390681548
global,2004,305756.5831228819
global,2005,298408.99758418126
global,2006,292870.73729239154
global,2007,287440.82205174374
global,2008,282317.6569519386
global,2009,279678.77894151886
global,2010,274873.14618250687
global,2011,271263.71580424416
global,2012,267046.48105015856
global,2013,262544.7491398622
global,2014,258467.57817857293
global,2015,254169.35682577503
global,2016,249130.11031825255
global,2017,242216.90206614853
