region,year,post3
5_emr,2000,131851.6467681761
6_wpr,2000,53794.21224465971
1_afr,2000,520771.9543541707
2_amr,2000,32119.260155446736
3_sear,2000,407666.4966633175
4_eur,2000,12485.648176789467
5_emr,2001,125174.96617763126
2_amr,2001,28988.975686300153
3_sear,2001,381306.22517575213
6_wpr,2001,47156.24103496762
1_afr,2001,493637.7127321574
4_eur,2001,10946.299613521333
5_emr,2002,118886.7744909708
3_sear,2002,355146.1872241121
4_eur,2002,9630.525704042599
1_afr,2002,467349.5573943822
6_wpr,2002,43189.66721033777
2_amr,2002,27194.09382142555
6_wpr,2003,39940.87532395936
4_eur,2003,8538.853452684281
3_sear,2003,331422.73305753333
1_afr,2003,437114.9963704522
5_emr,2003,113986.6489644649
2_amr,2003,25074.70690034882
4_eur,2004,7577.884914189235
5_emr,2004,109288.43506399516
6_wpr,2004,36622.45701069479
1_afr,2004,411728.4183486579
3_sear,2004,308885.7693633386
2_amr,2004,22057.77672904279
4_eur,2005,6786.020990767213
2_amr,2005,20644.098181984355
6_wpr,2005,32906.73298323327
5_emr,2005,104391.6857504043
3_sear,2005,287606.43849520234
1_afr,2005,388255.66186503746
1_afr,2006,373657.11415275675
2_amr,2006,18154.026247436293
5_emr,2006,100331.1832393698
4_eur,2006,6178.49238680567
3_sear,2006,266547.65805299365
6_wpr,2006,29734.184378604994
5_emr,2007,96288.50034237876
1_afr,2007,357732.7929346791
6_wpr,2007,26854.264052518392
2_amr,2007,15927.321059906251
3_sear,2007,246004.21884302972
4_eur,2007,5663.362332622915
5_emr,2008,93100.9712615648
6_wpr,2008,24500.478046308926
3_sear,2008,226207.73107461404
2_amr,2008,13942.288798752685
4_eur,2008,5375.598417694827
1_afr,2008,341220.56251280545
5_emr,2009,89731.62864747042
1_afr,2009,330441.81634468073
6_wpr,2009,22795.36250478183
4_eur,2009,5009.583995313572
2_amr,2009,12457.7793432711
3_sear,2009,207629.59110092645
6_wpr,2010,21002.25769207951
4_eur,2010,4685.084906290937
1_afr,2010,319268.0885126115
3_sear,2010,189531.75131847174
2_amr,2010,11447.602089672675
5_emr,2010,86186.93038457123
1_afr,2011,308016.98255109705
4_eur,2011,4615.175409958195
5_emr,2011,82614.29413652308
3_sear,2011,172966.30467423887
2_amr,2011,9932.182410798778
6_wpr,2011,19751.75412864627
2_amr,2012,9406.407633616374
6_wpr,2012,18598.401505140893
5_emr,2012,78275.17509905949
3_sear,2012,157508.36324838788
1_afr,2012,293426.4395074276
4_eur,2012,4392.309535522504
1_afr,2013,282337.46800023725
5_emr,2013,77514.9539544959
2_amr,2013,9093.432002686213
4_eur,2013,4144.088024110802
3_sear,2013,144470.06895939278
6_wpr,2013,17335.748211865484
2_amr,2014,8558.943103185366
5_emr,2014,74636.70853183598
3_sear,2014,131919.84075494463
4_eur,2014,3844.4407931218543
1_afr,2014,270739.5054276888
6_wpr,2014,16529.157123912042
2_amr,2015,8055.864958613387
4_eur,2015,3525.0228202815865
6_wpr,2015,15768.506170580777
1_afr,2015,257259.1671033227
5_emr,2015,70508.34431184408
3_sear,2015,124619.9563970694
2_amr,2016,8003.574037469109
1_afr,2016,245686.11025159678
3_sear,2016,115544.41037691497
5_emr,2016,66789.44758900047
6_wpr,2016,14954.359478734345
4_eur,2016,3260.9353688836227
1_afr,2017,229924.45943267815
2_amr,2017,7532.663183491472
4_eur,2017,2983.888948294304
3_sear,2017,107439.37811657663
5_emr,2017,62249.38095199561
6_wpr,2017,14347.974042897134
