global,year,rneo11
global,2000,8.136923789978027
global,2001,7.886260509490967
global,2002,7.612605094909668
global,2003,7.31997537612915
global,2004,7.0272626876831055
global,2005,6.738309383392334
global,2006,6.484533786773682
global,2007,6.233638286590576
global,2008,5.990545272827148
global,2009,5.751152515411377
global,2010,5.510911464691162
global,2011,5.2825927734375
global,2012,5.0722198486328125
global,2013,4.886882781982422
global,2014,4.719566345214844
global,2015,4.569586753845215
global,2016,4.449169158935547
global,2017,4.34719705581665
