global,year,rpost3
global,2000,8.887580871582031
global,2001,8.3074312210083
global,2002,7.764010429382324
global,2003,7.222965240478516
global,2004,6.724882125854492
global,2005,6.263946533203125
global,2006,5.879955291748047
global,2007,5.500858306884766
global,2008,5.143177509307861
global,2009,4.8496246337890625
global,2010,4.5653581619262695
global,2011,4.300038814544678
global,2012,4.025394439697266
global,2013,3.8238420486450195
global,2014,3.612025260925293
global,2015,3.4189419746398926
global,2016,3.235579013824463
global,2017,3.0237371921539307
