global,year,rufive17
global,2000,3.438720464706421
global,2001,3.320513963699341
global,2002,3.1986215114593506
global,2003,3.07603120803833
global,2004,3.2216670513153076
global,2005,2.906606674194336
global,2006,2.8480172157287598
global,2007,2.781625270843506
global,2008,2.883206367492676
global,2009,2.687718391418457
global,2010,2.8939175605773926
global,2011,2.610592842102051
global,2012,2.564206123352051
global,2013,2.5430126190185547
global,2014,2.519871711730957
global,2015,2.513112783432007
global,2016,2.462103843688965
global,2017,2.395404100418091
