country,year,ufive5
afg,2000,10827.0751953125
afg,2001,10135.0146484375
afg,2002,9100.0341796875
afg,2003,7146.77685546875
afg,2004,4631.9130859375
afg,2005,3342.97998046875
afg,2006,2844.40625
afg,2007,2732.334716796875
afg,2008,2554.249267578125
afg,2009,2441.739990234375
afg,2010,2462.081298828125
afg,2011,2438.77099609375
afg,2012,2218.494384765625
afg,2013,1911.405029296875
afg,2014,1619.9215087890625
afg,2015,1402.5614013671875
afg,2016,1257.38525390625
afg,2017,1228.4429931640625
ago,2000,2623.6220703125
ago,2001,2327.390625
ago,2002,2056.9931640625
ago,2003,1804.88720703125
ago,2004,1584.075927734375
ago,2005,1364.7435302734375
ago,2006,1169.8172607421875
ago,2007,993.6011352539062
ago,2008,847.9093627929688
ago,2009,760.7083129882812
ago,2010,729.5404663085938
ago,2011,697.5166625976562
ago,2012,645.7990112304688
ago,2013,571.1558837890625
ago,2014,506.4627990722656
ago,2015,464.2627868652344
ago,2016,434.7129821777344
ago,2017,433.2208251953125
alb,2000,3.371674060821533
alb,2001,3.544708013534546
alb,2002,3.739475965499878
alb,2003,3.463499069213867
alb,2004,2.9137680530548096
alb,2005,2.6393539905548096
alb,2006,2.4971120357513428
alb,2007,2.4612209796905518
alb,2008,2.4422390460968018
alb,2009,2.436357021331787
alb,2010,2.438033103942871
alb,2011,2.442931890487671
alb,2012,2.350745677947998
alb,2013,2.304652690887451
alb,2014,2.316175937652588
alb,2015,2.3622689247131348
alb,2016,2.396838903427124
alb,2017,2.396838903427124
and,2000,0.0
and,2001,0.0
and,2002,0.0
and,2003,0.0
and,2004,0.0
and,2005,0.0
and,2006,0.0
and,2007,0.0
and,2008,0.0
and,2009,0.0
and,2010,0.0
and,2011,0.0
and,2012,0.0
and,2013,0.0
and,2014,0.0
and,2015,0.0
and,2016,0.0
and,2017,0.0
are,2000,0.0
are,2001,0.0
are,2002,0.0
are,2003,0.0
are,2004,0.0
are,2005,0.0
are,2006,0.0
are,2007,0.0
are,2008,0.0
are,2009,0.0
are,2010,0.0
are,2011,0.0
are,2012,0.0
are,2013,0.0
are,2014,0.0
are,2015,0.0
are,2016,0.0
are,2017,0.0
arg,2000,0.0
arg,2001,0.0
arg,2002,0.0
arg,2003,0.0
arg,2004,0.0
arg,2005,0.0
arg,2006,0.0
arg,2007,0.0
arg,2008,0.0
arg,2009,0.0
arg,2010,0.0
arg,2011,0.0
arg,2012,0.0
arg,2013,0.0
arg,2014,0.0
arg,2015,0.0
arg,2016,0.0
arg,2017,0.0
arm,2000,0.0
arm,2001,0.0
arm,2002,0.0
arm,2003,0.0
arm,2004,0.0
arm,2005,0.0
arm,2006,0.0
arm,2007,0.0
arm,2008,0.0
arm,2009,0.0
arm,2010,0.0
arm,2011,0.0
arm,2012,0.0
arm,2013,0.0
arm,2014,0.0
arm,2015,0.0
arm,2016,0.0
arm,2017,0.0
atg,2000,0.0
atg,2001,0.0
atg,2002,0.0
atg,2003,0.0
atg,2004,0.0
atg,2005,0.0
atg,2006,0.0
atg,2007,0.0
atg,2008,0.0
atg,2009,0.0
atg,2010,0.0
atg,2011,0.0
atg,2012,0.0
atg,2013,0.0
atg,2014,0.0
atg,2015,0.0
atg,2016,0.0
atg,2017,0.0
aus,2000,0.0
aus,2001,0.0
aus,2002,0.0
aus,2003,0.0
aus,2004,0.0
aus,2005,0.0
aus,2006,0.0
aus,2007,0.0
aus,2008,0.0
aus,2009,0.0
aus,2010,0.0
aus,2011,0.0
aus,2012,0.0
aus,2013,0.0
aus,2014,0.0
aus,2015,0.0
aus,2016,0.0
aus,2017,0.0
aut,2000,0.0
aut,2001,0.0
aut,2002,0.0
aut,2003,0.0
aut,2004,0.0
aut,2005,0.0
aut,2006,0.0
aut,2007,0.0
aut,2008,0.0
aut,2009,0.0
aut,2010,0.0
aut,2011,0.0
aut,2012,0.0
aut,2013,0.0
aut,2014,0.0
aut,2015,0.0
aut,2016,0.0
aut,2017,0.0
aze,2000,89.40296173095703
aze,2001,72.65645599365234
aze,2002,59.260353088378906
aze,2003,48.768253326416016
aze,2004,40.698028564453125
aze,2005,34.42716598510742
aze,2006,29.525495529174805
aze,2007,25.584877014160156
aze,2008,22.473398208618164
aze,2009,19.792865753173828
aze,2010,17.625537872314453
aze,2011,15.582961082458496
aze,2012,13.67121696472168
aze,2013,11.899134635925293
aze,2014,10.314746856689453
aze,2015,8.908023834228516
aze,2016,7.717108726501465
aze,2017,7.006880283355713
bdi,2000,272.0683288574219
bdi,2001,252.2815704345703
bdi,2002,232.90560913085938
bdi,2003,218.3872833251953
bdi,2004,206.13304138183594
bdi,2005,192.5628662109375
bdi,2006,176.13522338867188
bdi,2007,149.95022583007812
bdi,2008,123.22894287109375
bdi,2009,102.92780303955078
bdi,2010,94.12842559814453
bdi,2011,91.91583251953125
bdi,2012,88.68624877929688
bdi,2013,84.35746002197266
