global,year,ufive5
global,2000,172498.91712601855
global,2001,153446.25306689367
global,2002,135540.41028615087
global,2003,118817.61608282477
global,2004,103323.23755409196
global,2005,90872.46807349473
global,2006,80881.80101581849
global,2007,72483.7536670398
global,2008,64892.11786744557
global,2009,58471.470825430006
global,2010,53720.69061360322
global,2011,50150.54181089997
global,2012,46587.36410330236
global,2013,42511.56287619099
global,2014,38226.35485271737
global,2015,34317.68245016225
global,2016,31809.332177057862
global,2017,31259.07574848924
