region,year,ufive5
5_emr,2000,44013.10060198605
6_wpr,2000,5937.238889519125
1_afr,2000,55868.84394097328
2_amr,2000,646.2499372959137
3_sear,2000,65626.0302721858
4_eur,2000,407.4534840583801
5_emr,2001,38379.28051139414
2_amr,2001,658.0192172527313
3_sear,2001,58148.73875144124
6_wpr,2001,4862.410072278231
1_afr,2001,51045.82122504711
4_eur,2001,351.98328948020935
5_emr,2002,33520.40124028176
3_sear,2002,51401.96596246958
4_eur,2002,306.8536117076874
1_afr,2002,45855.67183145881
6_wpr,2002,3876.9454777240753
2_amr,2002,578.5721625089645
6_wpr,2003,3160.6339846923947
4_eur,2003,269.0051078796387
3_sear,2003,45294.62340679765
1_afr,2003,40817.77339029312
5_emr,2003,28730.752851486206
2_amr,2003,544.8273416757584
4_eur,2004,238.85230374336243
5_emr,2004,24053.347400665283
6_wpr,2004,2726.0077498443425
1_afr,2004,36060.537716925144
3_sear,2004,39748.36035254598
2_amr,2004,496.13203036785126
4_eur,2005,214.47105717658997
2_amr,2005,470.0582733154297
6_wpr,2005,2313.0601038113236
5_emr,2005,21071.159399032593
3_sear,2005,34686.36278051138
1_afr,2005,32117.356459647417
1_afr,2006,28785.45731151104
2_amr,2006,435.31351137161255
5_emr,2006,19473.770533561707
4_eur,2006,194.94672858715057
3_sear,2006,30114.49937775731
6_wpr,2006,1877.8135530296713
5_emr,2007,18468.195925712585
1_afr,2007,25769.945554584265
6_wpr,2007,1655.907251400873
2_amr,2007,399.88809311389923
3_sear,2007,26013.71389475465
4_eur,2007,176.102947473526
5_emr,2008,17401.345580101013
6_wpr,2008,1481.3608813043684
3_sear,2008,22365.559012800455
2_amr,2008,378.99015152454376
4_eur,2008,161.0745289325714
1_afr,2008,23103.78771278262
5_emr,2009,16655.31572151184
1_afr,2009,21029.473354399204
6_wpr,2009,1186.300161179155
4_eur,2009,146.74331998825073
2_amr,2009,351.6790260076523
3_sear,2009,19101.959242343903
6_wpr,2010,894.7896514292806
4_eur,2010,133.21045017242432
1_afr,2010,20018.929358899593
3_sear,2010,16203.429993510246
2_amr,2010,270.3392028808594
5_emr,2010,16199.991956710815
1_afr,2011,19564.615686148405
4_eur,2011,119.39719653129578
5_emr,2011,15937.969137191772
3_sear,2011,13606.224022582173
2_amr,2011,231.63620334863663
6_wpr,2011,690.6995650976896
2_amr,2012,214.35318291187286
6_wpr,2012,578.7947185635567
5_emr,2012,15253.868414878845
3_sear,2012,11321.209826990962
1_afr,2012,19112.411756515503
4_eur,2012,106.72620344161987
1_afr,2013,18222.47842618823
5_emr,2013,14155.456311225891
2_amr,2013,197.44312274456024
4_eur,2013,94.93202018737793
3_sear,2013,9322.476674094796
6_wpr,2013,518.7763217501342
2_amr,2014,181.42164778709412
5_emr,2014,12928.194135665894
3_sear,2014,7620.850560054183
4_eur,2014,84.46319055557251
1_afr,2014,16937.08222311735
6_wpr,2014,474.3430955372751
2_amr,2015,170.20394384860992
4_eur,2015,75.4515790939331
6_wpr,2015,426.3124654311687
1_afr,2015,15682.260702639818
5_emr,2015,11726.572771072388
3_sear,2015,6236.880988076329
2_amr,2016,161.74137616157532
1_afr,2016,14630.523559451103
3_sear,2016,5913.9325319975615
5_emr,2016,10634.089281082153
6_wpr,2016,401.13579258322716
4_eur,2016,67.90963578224182
1_afr,2017,14544.035972386599
2_amr,2017,156.40821927785873
4_eur,2017,64.4682400226593
3_sear,2017,5666.97872915864
5_emr,2017,10438.258223056793
6_wpr,2017,388.9263645866886
