country,name,iso3,whocode,region,is--country
afg,Afghanistan,AFG,3010,5_emr,TRUE
ago,Angola,AGO,1020,1_afr,TRUE
alb,Albania,ALB,4005,4_eur,TRUE
and,Andorra,AND,4008,4_eur,TRUE
are,United Arab Emirates,ARE,3405,5_emr,TRUE
arg,Argentina,ARG,2020,2_amr,TRUE
arm,Armenia,ARM,4007,4_eur,TRUE
atg,Antigua and Barbuda,ATG,2010,2_amr,TRUE
aus,Australia,AUS,5020,6_wpr,TRUE
aut,Austria,AUT,4010,4_eur,TRUE
aze,Azerbaijan,AZE,4012,4_eur,TRUE
bdi,Burundi,BDI,1040,1_afr,TRUE
bel,Belgium,BEL,4020,4_eur,TRUE
ben,Benin,BEN,1025,1_afr,TRUE
bfa,Burkina Faso,BFA,1035,1_afr,TRUE
bgd,Bangladesh,BGD,3025,3_sear,TRUE
bgr,Bulgaria,BGR,4030,4_eur,TRUE
bhr,Bahrain,BHR,3020,5_emr,TRUE
bhs,Bahamas,BHS,2030,2_amr,TRUE
bih,Bosnia and Herzegovina,BIH,4025,4_eur,TRUE
blr,Belarus,BLR,4018,4_eur,TRUE
blz,Belize,BLZ,2045,2_amr,TRUE
bol,Bolivia (Plurinational State of),BOL,2060,2_amr,TRUE
bra,Brazil,BRA,2070,2_amr,TRUE
brb,Barbados,BRB,2040,2_amr,TRUE
brn,Brunei Darussalam,BRN,3030,6_wpr,TRUE
btn,Bhutan,BTN,3027,3_sear,TRUE
bwa,Botswana,BWA,1030,1_afr,TRUE
caf,Central African Republic,CAF,1070,1_afr,TRUE
can,Canada,CAN,2090,2_amr,TRUE
che,Switzerland,CHE,4300,4_eur,TRUE
chl,Chile,CHL,2120,2_amr,TRUE
chn,China,CHN,3068,6_wpr,TRUE
civ,Cote d'Ivoire,CIV,1115,1_afr,TRUE
cmr,Cameroon,CMR,1045,1_afr,TRUE
cod,Democratic Republic of the Congo,COD,1555,1_afr,TRUE
cog,Congo,COG,1100,1_afr,TRUE
cok,Cook Islands,COK,5060,6_wpr,TRUE
col,Colombia,COL,2130,2_amr,TRUE
com,Comoros,COM,1090,1_afr,TRUE
cpv,Cabo Verde,CPV,1060,1_afr,TRUE
cri,Costa Rica,CRI,2140,2_amr,TRUE
cub,Cuba,CUB,2150,2_amr,TRUE
cyp,Cyprus,CYP,3080,4_eur,TRUE
cze,Czechia,CZE,4045,4_eur,TRUE
deu,Germany,DEU,4085,4_eur,TRUE
dji,Djibouti,DJI,1120,5_emr,TRUE
dma,Dominica,DMA,2160,2_amr,TRUE
dnk,Denmark,DNK,4050,4_eur,TRUE
dom,Dominican Republic,DOM,2170,2_amr,TRUE
dza,Algeria,DZA,1010,1_afr,TRUE
ecu,Ecuador,ECU,2180,2_amr,TRUE
egy,Egypt,EGY,1125,5_emr,TRUE
eri,Eritrea,ERI,1135,1_afr,TRUE
esp,Spain,ESP,4280,4_eur,TRUE
est,Estonia,EST,4055,4_eur,TRUE
eth,Ethiopia,ETH,1140,1_afr,TRUE
fin,Finland,FIN,4070,4_eur,TRUE
fji,Fiji,FJI,5070,6_wpr,TRUE
fra,France,FRA,4080,4_eur,TRUE
fsm,Micronesia (Federated States of),FSM,5108,6_wpr,TRUE
gab,Gabon,GAB,1160,1_afr,TRUE
gbr,United Kingdom,GBR,4308,4_eur,TRUE
geo,Georgia,GEO,4084,4_eur,TRUE
gha,Ghana,GHA,1180,1_afr,TRUE
gin,Guinea,GIN,1190,1_afr,TRUE
gmb,Gambia,GMB,1170,1_afr,TRUE
gnb,Guinea-Bissau,GNB,1192,1_afr,TRUE
gnq,Equatorial Guinea,GNQ,1130,1_afr,TRUE
grc,Greece,GRC,4140,4_eur,TRUE
grd,Grenada,GRD,2230,2_amr,TRUE
gtm,Guatemala,GTM,2250,2_amr,TRUE
guy,Guyana,GUY,2260,2_amr,TRUE
hnd,Honduras,HND,2280,2_amr,TRUE
hrv,Croatia,HRV,4038,4_eur,TRUE
hti,Haiti,HTI,2270,2_amr,TRUE
hun,Hungary,HUN,4150,4_eur,TRUE
idn,Indonesia,IDN,3110,3_sear,TRUE
ind,India,IND,3100,3_sear,TRUE
irl,Ireland,IRL,4170,4_eur,TRUE
irn,Iran (Islamic Republic of),IRN,3130,5_emr,TRUE
irq,Iraq,IRQ,3140,5_emr,TRUE
isl,Iceland,ISL,4160,4_eur,TRUE
isr,Israel,ISR,3150,4_eur,TRUE
ita,Italy,ITA,4180,4_eur,TRUE
jam,Jamaica,JAM,2290,2_amr,TRUE
jor,Jordan,JOR,3170,5_emr,TRUE
jpn,Japan,JPN,3160,6_wpr,TRUE
kaz,Kazakhstan,KAZ,4182,4_eur,TRUE
ken,Kenya,KEN,1220,1_afr,TRUE
kgz,Kyrgyzstan,KGZ,4184,4_eur,TRUE
khm,Cambodia,KHM,3050,6_wpr,TRUE
kir,Kiribati,KIR,5105,6_wpr,TRUE
kna,Saint Kitts and Nevis,KNA,2385,2_amr,TRUE
